district,Total Branch,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,CLF TL A/C,CLF TL Amt,CLF WC A/C,CLF WC Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Bajali,32,"1,282","5,696.90",285,"2,918.15",36,"2,557.97",14,440.15,1,188.01,0,0,33,178.05,0,0,3,12.98,31,1578.56,0,0,"1,685","13,570.77"
Baksa,35,939,"2,636.10",599,"3,722.52",28,632.26,29,"2,312.41",1,131.25,4,1608.75,9,14.8,1,4.5,5,2.08,24,285.86,0,0,"1,639","11,350.53"
Barpeta,92,"4,106","19,091.38","1,651","17,764.77",144,"7,538.38",96,"5,540.89",9,826.62,12,2611,66,234.3,24,115,2,1.92,131,5351.97,8,10.5,"6,249","59,086.76"
Biswanath,58,"1,167","8,550.44","1,546","6,534.53",41,"1,867.03",79,"1,020.38",6,107.91,0,12.5,12,69.8,1,3.14,0,0,15,451.39,0,0,"2,867","18,617.12"
Bongaigaon,64,"2,603","13,282.61","1,278","10,881.76",105,"11,660.48",74,"5,072.13",9,2082.1,4,388.7,22,71.69,17,31.21,5,20.59,90,4260.29,0,0,"4,207","47,751.56"
Cachar,167,"7,043","29,063.64","3,504","22,524.18",304,"20,224.92",240,"16,524.34",66,9052.9,9,4359.69,108,384.97,29,127.6,19,199.12,250,15615.08,8,9.2,"11,580","1,18,085.59"
Charaideo,36,"1,480","5,193.20",476,"3,302.87",32,608.89,22,581.58,4,22.85,0,7.5,0,0,0,0,1,5,5,153,0,0,"2,020","9,874.89"
Chirang,38,"1,212","4,733.62",583,"2,267.34",36,"2,230.83",11,575.16,3,956.25,1,318.75,11,23.86,0,0,0,0,13,731,0,0,"1,870","11,836.81"
Darrang,71,"3,421","13,714.24","1,607","9,250.03",125,"6,271.32",61,"3,288.51",9,1177.13,2,5.03,32,78.07,9,10.21,4,0.08,143,5265.81,0,0,"5,413","39,060.43"
Dhemaji,47,"1,804","6,333.55","2,141","8,812.80",53,"1,961.94",44,"2,156.13",2,70,1,46.41,12,47.26,0,0,8,7.59,45,960,0,0,"4,110","20,395.68"
