District,Total Branch,Christians No.,Christians Amt,Muslims No.,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zorastrians No.,Zorastrians Amt,Jains No.,Jains Amt,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt
Bajali,32,21,79.61,"9,507","7,369.32",2,1.12,4,4.50,0,0,8,14.39,"9,542","7,468.94"
Baksa,35,71,169.64,"3,388","4,774.72",14,46.11,2,2.99,0,0,8,3.21,"3,483","4,996.67"
Barpeta,92,172,531.23,"88,496","1,12,776.72",38,53.72,8,25.82,0,0,22,235.42,"88,736","1,13,622.91"
Biswanath,58,417,530.79,"9,496","8,498.40",18,21.51,21,68.48,2,1.09,13,123.13,"9,967","9,243.40"
Bongaigaon,64,884,"1,424.09","27,040","39,862.30",183,158.06,22,73.62,49,14.87,47,220.24,"28,225","41,753.18"
Cachar,167,"2,513","5,697.94","87,775","1,09,316.81",67,275.89,61,230.03,4,8.9,67,477.78,"90,487","1,16,007.35"
Charaideo,36,157,194.65,"1,736","2,840.27",90,209.48,26,96.13,5,12.52,4,12.02,"2,018","3,365.07"
Chirang,38,"2,569","2,322.10","7,585","8,892.94",44,24.31,7,22.25,5,4.77,2,0.72,"10,212","11,267.09"
Darrang,71,302,528.24,"50,683","57,536.29",48,159.39,16,45.46,1,0.79,17,411.39,"51,067","58,681.56"
Dhemaji,47,133,337.95,662,"1,193.99",32,130.70,27,112.38,1,5.01,6,12.01,861,"1,792.04"
Dhubri,89,"1,069",903.32,"82,268","90,007.61",12,19.68,35,146.04,0,0,28,244.56,"83,412","91,321.21"
Dibrugarh,187,"1,219","2,740.52","10,575","21,130.56",233,725.76,335,"1,263.75",8,7.92,114,687.32,"12,484","26,555.83"
Dima Hasao,32,"4,028","9,210.59",426,"1,117.07",8,29.61,6,22.54,0,0,-,-,"4,468","10,379.81"
Goalpara,73,"3,906","2,771.32","41,122","54,975.93",16,29.82,13,49.24,15,11.33,11,86.94,"45,083","57,924.58"
Golaghat,124,"1,590","1,494.72","11,992","13,989.09",783,432.75,75,211.59,5,2.79,50,262.91,"14,495","16,393.85"
Hailakandi,46,232,457.15,"30,837","38,579.07",3,7.35,6,4.09,0,0,2,4.15,"31,080","39,051.81"
Hojai,60,315,757.61,"23,899","32,174.53",22,81.91,50,147.66,0,0,7,13.62,"24,293","33,175.33"
Jorhat,140,906,"2,620.82","8,467","16,252.20",457,753.75,162,"1,252.97",5,34.51,107,743.95,"10,104","21,658.20"
Kamrup Metro,179,"1,082","1,527.96","64,863","79,451.97",312,278.26,41,197.98,0,0,52,"1,116.97","66,350","82,573.14"
Karbi Anglong,66,"3,182","5,345.11","1,611","2,605.07",81,254.02,34,223.36,1,0.56,10,215.28,"4,919","8,643.40"
Karimganj,92,616,714.00,"37,863","47,031.78",7,23.31,19,92.51,3,6.74,14,165.61,"38,522","48,033.95"
Kokrajhar,57,"4,943","4,410.32","18,288","23,116.27",10,10.21,17,67.57,3,216.17,11,83.75,"23,272","27,904.29"
Lakhimpur,92,"1,075","1,762.94","23,024","26,102.28",76,258.71,42,150.22,22,17.78,259,818.51,"24,498","29,110.44"
Majuli,17,8,17.91,46,118.75,4,5.81,-,-,0,0,-,-,58,142.47
Morigaon,68,145,307.52,"30,091","31,817.59",36,51.22,22,45.29,1,0.28,16,6.53,"30,311","32,228.43"
Nagaon,156,983,983.89,"1,21,058","1,24,619.43",55,62.66,201,777.22,16,7.17,34,69.51,"1,22,347","1,26,519.88"
Nalbari,88,85,237.19,"29,646","36,984.66",23,34.74,36,42.08,3,2.14,65,939.33,"29,858","38,240.14"
Sivasagar,103,405,592.58,"21,896","30,144.97",495,520.17,59,165.20,5,3.13,52,194.55,"22,912","31,620.60"
Sonitpur,133,"1,495","3,515.70","33,542","36,110.55",245,"1,960.16",179,578.66,1,0.09,183,"2,783.33","35,645","44,948.49"
South Salmara,15,22,109.54,"6,203","11,841.67",1,0.74,5,33.89,0,0,-,-,"6,231","11,985.84"
Tamulpur,26,79,174.30,"1,496","2,442.42",1,0.41,6,13.49,0,0,2,5.77,"1,584","2,636.39"
Tinsukia,153,"1,493","4,436.72","5,560","10,531.33",779,"2,543.76",203,"1,909.10",1,0.43,71,701.46,"8,107","20,122.80"
Udalguri,51,"5,748","8,987.01","10,924","13,650.93",12,6.44,7,26.82,5,3.53,4,4.78,"16,700","22,679.51"
West Karbi Anglong,22,450,"1,155.41",54,208.76,2,2.45,12,20.97,1,0.39,0,0,519,"1,387.98"
