district,Total Branch,Sep-I No.,Sep-I Amt,Sep-G No,Sep-G Amt.,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt.,Women SHG No. of Beneficiary,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amount,NULM O/S No.,NULM O/S Amt.,NULM NPA No.,NULM NPA Amt.,NULM NPA Amt. %
Bajali,32,1,0.00,0,0.00,0,4,17.99,40,1,1.00,10,5,17.99,187,417.43,9,4.88,1.17
Baksa,35,0,0.00,0,0.00,0,1,0.76,1,0,0.00,0,1,0.76,62,225.29,15,10.55,4.68
Barpeta,92,10,1.00,1,3.00,5,16,37.25,146,20,33.25,115,27,41.25,973,1764.71,213,52.04,2.95
Biswanath,58,0,0.00,17,78.20,240,41,135.82,387,31,101.82,277,58,214.02,79,189.18,5,2.09,1.10
Bongaigaon,64,4,4.00,28,96.40,280,46,150.35,389,49,152.35,372,78,250.75,130,253.30,30,18.15,7.17
Cachar,167,21,32.69,22,48.37,157,69,190.12,504,50,101.62,270,112,271.18,398,637.62,68,31.13,4.88
Charaideo,36,5,6.11,0,0.00,0,0,0.00,0,1,5.00,1,5,6.11,25,26.34,8,5.90,22.40
Chirang,38,0,0.00,0,0.00,0,4,19.00,40,14,37.50,0,4,19.00,62,70.41,6,3.00,4.26
Darrang,71,0,0.00,0,0.00,0,48,124.01,272,47,123.01,271,48,124.01,355,653.21,28,20.82,3.19
Dhemaji,47,7,0.80,0,0.00,0,108,366.77,540,101,345.77,478,115,367.57,222,421.34,47,61.28,14.54
Dhubri,89,1,1.30,2,1.52,5,53,117.89,240,42,89.74,136,56,120.71,424,395.61,217,127.09,32.13
Dibrugarh,187,37,75.19,0,0.00,0,109,327.44,811,109,316.44,793,146,402.63,613,1453.87,65,41.83,2.88
Dima Hasao,32,7,10.57,16,59.00,160,18,65.00,180,16,59.00,160,41,134.57,59,100.65,14,13.07,12.99
Goalpara,73,0,0.00,11,29.00,101,26,56.24,224,18,37.00,101,37,85.24,172,188.10,108,90.82,48.28
Golaghat,124,0,0.00,1,6.00,10,50,185.07,248,20,65.58,82,51,191.07,212,505.68,23,14.63,2.89
Hailakandi,46,6,3.30,0,0.00,0,39,127.82,251,15,37.94,73,45,131.12,369,527.21,72,43.33,8.22
Hojai,60,0,0.00,0,0.00,0,1,5.50,1,0,0.00,0,1,5.50,343,512.82,74,34.84,6.79
Jorhat,140,2,0.00,11,20.95,88,39,105.24,158,51,132.29,135,52,126.19,940,2257.42,23,11.04,0.49
Kamrup,179,51,1.20,2,4.00,10,42,91.6,276,25,54.64,138,95,96.81,469,980.46,30,28.20,2.88
Kamrup Metro,450,131,33.35,8,11.50,16,287,912.46,"1,248",246,742.34,885,426,957.31,934,1823.59,96,85.82,4.71
Karbi Anglong,66,32,13.84,3,18.00,30,33,76.50,330,13,34.00,112,68,108.34,53,107.21,1,1.34,1.25
Karimganj,92,2,3.70,3,8.50,28,12,41.50,62,5,17.90,30,17,53.70,257,368.47,93,46.84,12.71
Kokrajhar,57,71,2.20,1,2.50,0,6,9.99,51,8,32.00,0,78,14.69,60,65.07,10,8.92,13.71
Lakhimpur,92,2,1.80,1,2.00,5,56,181.80,416,52,146.90,135,59,185.60,211,320.46,32,25.15,7.85
Majuli,17,3,0.10,0,0.00,0,3,8.00,3,3,11.00,3,6,8.10,26,32.72,8,4.44,13.57
Morigaon,68,48,2.90,0,0.00,0,17,55.94,65,14,44.44,65,65,58.84,639,710.16,365,221.66,31.21
Nagaon,156,5,0.30,3,7.50,30,21,63.50,90,24,72.50,93,29,71.30,510,1158.02,30,21.72,1.88
Nalbari,88,57,0.40,0,0.00,0,15,53.78,138,2,4.79,17,72,54.18,246,665.72,17,13.48,2.02
Sivasagar,103,37,5.60,25,100.00,125,44,120.27,353,39,83.27,310,106,225.87,276,425.13,53,44.74,10.52
Sonitpur,133,83,1.35,0,0.00,0,65,192.82,489,44,116.72,296,148,194.17,397,751.54,9,8.54,1.14
South Salmara,15,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,4,3.24,0,0.00,0.00
Tamulpur,26,0,0.00,0,0.00,0,3,4.99,12,2,4.95,11,3,4.99,8,9.40,0,0.00,0.00
Tinsukia,153,114,12.20,2,5.46,10,92,224.96,538,69,162.36,196,208,242.62,1471,"3,138.46",67,42.93,1.37
Udalguri,51,85,4.50,0,0.00,0,20,46.51,124,38,42.51,123,105,51.01,61,116.73,4,3.39,2.90
West Karbi Anglong,22,0,0.00,1,2.10,5,0,0.00,0,0,0.00,0,1,2.10,62,185.45,0,0.00,0.00
