district,Total Branch,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Bajali,32,"2,897",963.21,"5,149","4,953.40",198,"1,553.38","8,244","7,469.99"
Baksa,35,461,85.42,868,"1,775.90",146,980.16,"1,475","2,841.48"
Barpeta,92,"13,951","4,579.17","12,188","14,891.47",587,"4,362.69","26,726","23,833.33"
Biswanath,58,"4,559","1,363.76","5,177","5,505.75",261,"1,922.45","9,997","8,791.96"
Bongaigaon,64,"10,755","3,500.91","8,325","9,882.41",393,"2,765.00","19,473","16,148.32"
Cachar,167,"31,119","9,866.45","30,829","34,148.91","1,148","8,035.22","63,096","52,050.58"
Charaideo,36,"4,806","1,478.40","3,869","4,795.38",184,"1,268.96","8,859","7,542.74"
Chirang,38,"4,976","1,559.84","3,698","4,312.03",160,"1,199.37","8,834","7,071.24"
Darrang,71,"10,743","3,386.40","9,095","11,311.38",543,"4,119.26","20,381","18,817.04"
Dhemaji,47,"5,386","1,662.36","4,503","5,531.19",402,"2,802.21","10,291","9,995.76"
Dhubri,89,"16,476","5,493.08","15,629","17,350.43",375,"2,787.61","32,480","25,631.12"
Dibrugarh,187,"17,928","4,723.90","16,169","18,880.75",994,"7,265.85","35,091","30,870.50"
Dima Hasao,32,"1,141",205.54,741,"1,391.30",79,626.90,"1,961","2,223.74"
Goalpara,73,"9,281","2,948.43","6,562","8,246.34",293,"2,038.94","16,136","13,233.71"
Golaghat,124,"13,696","4,259.12","16,505","17,737.88",646,"4,156.81","30,847","26,153.81"
Hailakandi,46,"4,692","1,513.88","4,852","6,043.99",259,"1,806.99","9,803","9,364.86"
Hojai,60,"5,645","1,539.58","6,310","8,360.73",558,"4,052.09","12,513","13,952.40"
Jorhat,140,"13,292","3,835.78","14,362","17,612.29",696,"4,816.93","28,350","26,265.00"
Kamrup,179,"23,808","8,719.31","27,371","30,363.62",907,"6,413.20","52,086","45,496.13"
Kamrup Metro,450,"18,726","5,389.03","21,400","30,160.53","2,622","20,527.54","42,748","56,077.10"
Karbi Anglong,66,"2,372",692.03,"2,276","4,020.72",183,"1,414.56","4,831","6,127.31"
Karimganj,92,"13,947","4,576.04","12,868","14,046.19",555,"3,879.08","27,370","22,501.31"
Kokrajhar,57,"6,583","2,357.04","2,907","4,002.19",360,"2,495.13","9,850","8,854.36"
Lakhimpur,92,"8,968","2,676.90","8,718","10,494.45",799,"5,341.40","18,485","18,512.75"
Majuli,17,"1,255",450.05,210,411.28,52,382.75,"1,517","1,244.08"
Morigaon,68,"4,963","1,647.16","6,354","8,563.32",539,"3,687.04","11,856","13,897.52"
Nagaon,156,"15,785","4,990.51","19,491","23,356.98","1,022","7,212.99","36,298","35,560.48"
Nalbari,88,"8,204","2,826.23","6,529","8,865.53",344,"2,531.54","15,077","14,223.30"
Sivasagar,103,"10,529","3,157.68","12,695","14,682.91",799,"5,085.05","24,023","22,925.64"
Sonitpur,133,"15,218","5,089.66","19,737","24,590.98",842,"6,048.32","35,797","35,728.96"
South Salmara,15,138,63.47,191,387.68,51,356.11,380,807.26
Tamulpur,26,162,36.07,433,778.34,30,232.77,625,"1,047.18"
Tinsukia,153,"15,073","4,291.90","13,824","18,248.75","1,314","9,622.75","30,211","32,163.40"
Udalguri,51,"4,081","1,394.27","1,794","2,827.90",186,"1,463.06","6,061","5,685.23"
West Karbi Anglong,22,764,216.15,179,403.32,30,235.40,973,854.87
