District,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt,Agri NPA Amt %,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt,Tot Msme (PS) NPA No.,Tot Msme (PS) NPA Amt,Msme NPA Amt %,Total Other PS O/S No.,Total Other PS O/S Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt,Other(PS) NPA Amt %,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Amt %
Bajali,32,26708,20110.11,9492,3675.58,18.28,4944,15409.81,1267,805.68,5.23,6411,12545.95,2029,663.56,5.29,38063,48065.87,12788,5144.82,10.70
Baksa,35,20514,20177.20,5642,2958.87,14.66,6675,14157.66,2127,1763.80,12.46,2323,6844.32,721,300.29,4.39,29512,41179.18,8490,5022.96,12.20
Barpeta,92,76503,69919.36,26953,14187.22,20.29,19591,77495.18,6330,7031.62,9.07,33060,34790.54,13109,3915.17,11.25,129154,182205.08,46392,25134.01,13.79
Biswanath,58,38254,41183.28,11603,5813.11,14.12,11022,27309.69,3308,1958.54,7.17,15565,18936.72,6892,1966.75,10.39,64841,87429.69,21803,9738.40,11.14
Bongaigaon,64,33958,36018.14,5784,2751.43,7.64,12609,56588.77,2331,3516.87,6.21,18013,24340.66,6458,2059.30,8.46,64580,116947.57,14573,8327.60,7.12
Cachar,167,84543,66152.89,32363,16991.39,25.69,28678,134354.91,6714,12030.01,8.95,86856,69835.03,28180,11359.61,16.27,200077,270342.83,67257,40381.01,14.94
Charaideo,36,20440,20296.95,3194,1702.74,8.39,5652,13859.93,1303,1355.03,9.78,5877,13681.62,989,221.15,1.62,31969,47838.50,5486,3278.92,6.85
Chirang,38,23617,22733.67,8683,5084.45,22.37,7907,18305.08,2939,2597.70,14.19,9428,9250.61,2614,712.51,7.70,40952,50289.36,14236,8394.66,16.69
Darrang,71,63135,55805.20,21634,11623.77,20.83,15391,48384.75,4521,5535.58,11.44,19486,20335.95,9818,2551.44,12.55,98012,124525.90,35973,19710.79,15.83
Dhemaji,47,41440,38213.89,13207,7835.50,20.50,13909,29803.54,4072,2897.60,9.72,10064,19088.47,2059,565.74,2.96,65413,87105.90,19338,11298.84,12.97
Dhubri,89,50671,38289.88,25153,11530.36,30.11,16619,47935.96,5351,3664.57,7.64,41121,31456.38,20455,7191.46,22.86,108411,117682.22,50959,22386.39,19.02
Dibrugarh,187,101063,111453.65,34607,19544.50,17.54,34442,182772.40,8324,14697.17,8.04,31997,57021.95,6274,1992.79,3.49,167502,351248.00,49205,36234.46,10.32
Dima Hasao,32,3382,3881.78,686,219.62,5.66,4646,7512.84,435,338.01,4.50,555,4589.20,13,18.56,0.40,8583,15983.82,1134,576.19,3.60
Goalpara,73,43715,38745.23,14931,7424.49,19.16,14752,37418.86,4656,3793.34,10.14,22575,20204.79,7563,2475.64,12.25,81042,96368.88,27150,13693.47,14.21
Golaghat,124,90811,79597.02,31505,14315.33,17.98,20072,60989.71,5163,4595.55,7.53,31870,32575.30,6408,1376.32,4.23,142753,173162.03,43076,20287.20,11.72
Hailakandi,46,24478,18859.49,9577,4417.04,23.42,8314,19510.52,2169,2236.71,11.46,15384,12870.86,4782,2425.06,18.84,48176,51240.87,16528,9078.81,17.72
Hojai,60,33569,29091.99,11055,5596.14,19.24,13327,42835.81,3680,4291.23,10.02,15302,29663.05,4916,1473.53,4.97,62198,101590.85,19651,11360.90,11.18
Jorhat,140,77189,82094.28,28291,11711.21,14.27,22737,151462.45,5176,11801.89,7.79,29146,52744.14,8409,1984.15,3.76,129072,286300.87,41876,25497.25,8.91
Kamrup Metro,179,117541,95591.07,42804,21840.69,22.85,27273,95917.94,8981,7790.61,8.12,63839,66057.00,28213,7659.05,11.59,208653,257566.01,79998,37290.35,14.48
Karbi Anglong,66,45834,42227.61,8611,4255.49,10.08,10861,20326.86,1287,1073.33,5.28,5575,22829.08,719,317.88,1.39,62270,85383.55,10617,5646.70,6.61
Karimganj,92,38445,28587.86,17243,9495.97,33.22,12233,50444.74,3129,4968.13,9.85,39965,29580.46,13668,6097.15,20.61,90643,108613.06,34040,20561.25,18.93
Kokrajhar,57,39847,38761.08,11815,6446.60,16.63,9885,28848.72,3654,3826.54,13.26,18018,18011.84,3219,1117.30,6.20,67750,85621.64,18688,11390.44,13.30
Lakhimpur,92,92222,70296.39,35113,17345.57,24.67,26118,63710.55,9115,6022.33,9.45,22962,41392.97,9263,2529.32,6.11,141302,175399.91,53491,25897.22,14.76
Majuli,17,10571,8214.73,2743,1567.12,19.08,2640,4931.49,637,528.27,10.71,1147,3273.63,542,28.33,0.87,14358,16419.85,3922,2123.72,12.93
Morigaon,68,60852,50325.31,23211,11404.90,22.66,12201,32148.38,4586,5753.58,17.90,14509,38630.88,5097,1748.18,4.53,87562,121104.57,32894,18906.66,15.61
Nagaon,156,138951,101273.17,65438,27164.79,26.82,30154,121829.64,10204,11418.54,9.37,49804,64542.82,20477,6247.32,9.68,218909,287645.63,96119,44830.65,15.59
Nalbari,88,66598,50039.12,25122,10069.63,20.12,14807,47392.97,5138,4793.18,10.11,24400,32581.62,11707,3173.13,9.74,105805,130013.71,41967,18035.94,13.87
Sivasagar,103,67734,48431.76,16236,6563.34,13.55,19862,92496.35,4108,5132.81,5.55,22553,35432.23,5069,1395.34,3.94,110149,176360.34,25413,13091.49,7.42
Sonitpur,133,72855,69920.79,23427,11777.48,16.84,23386,108951.08,7046,8391.89,7.70,35364,61794.99,12140,4116.55,6.66,131605,240666.86,42613,24285.92,10.09
South Salmara,15,3413,2875.34,1747,689.99,24.00,1848,4833.41,925,1212.85,25.09,681,3281.47,218,312.65,9.53,5942,10990.22,2890,2215.49,20.16
Tamulpur,26,11223,11310.68,4418,2081.50,18.40,4317,5383.96,1302,843.98,15.68,3237,4788.29,1035,366.62,7.66,18777,21482.93,6755,3292.10,15.32
Tinsukia,153,69478,92237.90,21006,13049.61,14.15,28954,160717.94,6529,9548.41,5.94,25990,38366.76,5710,1447.07,3.77,124422,291322.60,33245,24045.09,8.25
Udalguri,51,48767,37741.86,26591,14980.80,39.69,11317,20331.55,5284,5948.59,29.26,13336,23816.77,5396,2165.90,9.09,73420,81890.18,37271,23095.29,28.20
West Karbi Anglong,22,14617,12610.47,2241,942.75,7.48,1779,1578.97,125,75.12,4.76,579,5772.81,20,40.21,0.70,16975,19962.25,2386,1058.08,5.30
