District,Total Branch,Agri NPS No.,Agri NPS Amt,Education NPS No.,Education NPS Amt,Housing NPS No.,Housing NPS Amt,Personal Loan No.,Personal Loan Amt,Other NPS No.,Other NPS Amt,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt
Bajali,32,0,0.00,0,0.00,5,1.94,257,127.69,855,424.58,1117,554.21
Baksa,35,3,13.38,0,0.00,7,14.86,337,172.03,796,532.22,1143,732.49
Barpeta,92,0,0.00,0,0.00,26,110.89,1775,733.49,4062,3164.59,5863,4008.97
Biswanath,58,0,0.00,0,0.00,3,0.24,623,224.47,1401,763.66,2027,988.37
Bongaigaon,64,8,16.72,0,0.00,12,108.72,1364,591.29,2566,1797.54,3950,2514.27
Cachar,167,12,315.37,0,0.00,26,459.23,6632,2233.23,6928,5135.48,13598,8143.31
Charaideo,36,0,0.00,0,0.00,0,0,130,93.12,719,288.17,849,381.29
Chirang,38,8,9.60,0,0.00,0,0,420,143.61,1300,464.79,1728,618.00
Darrang,71,10,49.74,0,0.00,11,105.14,1203,543.07,2588,1860.93,3812,2558.88
Dhemaji,47,0,0.00,0,0.00,3,16.45,276,242.79,1059,776.42,1338,1035.66
Dhubri,89,48,0.00,0,0.00,9,39.85,3776,1369.32,4124,2823.63,7957,4232.80
Dibrugarh,187,1,1.50,1,19.67,31,419.43,1147,898.69,5345,2964.95,6525,4304.24
Dima Hasao,32,0,0.00,0,0.00,0,0,48,45.95,582,236.22,630,282.17
Goalpara,73,3,5.10,1,23.25,4,19.99,1032,430.75,2091,1755.98,3131,2235.07
Golaghat,124,333,194.61,0,0.00,16,149.25,996,405.09,2816,1442.63,4161,2191.58
Hailakandi,46,0,0.00,0,0.00,4,11.08,863,380.47,1399,837.07,2266,1228.62
Hojai,60,3,25.96,0,0.00,3,0.38,967,407.56,2028,1140.25,3001,1574.15
Jorhat,140,8,53.24,1,36.11,42,538.66,1128,568.97,3596,3353.16,4775,4550.14
Kamrup Metro,179,1,1.07,0,0.00,23,253.88,3473,1597.80,6432,5094.71,9929,6947.46
Karbi Anglong,66,0,0.00,0,0.00,5,38.48,175,257.00,1172,839.93,1352,1135.41
Karimganj,92,1,0.00,0,0.00,10,231.21,2613,995.53,2816,2367.26,5440,3594.00
Kokrajhar,57,7,19.45,0,0.00,19,67.54,473,210.64,1666,1069.50,2165,1367.13
Lakhimpur,92,3,0.00,0,0.00,9,91.72,989,502.69,3025,1981.02,4026,2575.43
Majuli,17,0,0.00,0,0.00,1,16.35,40,34.80,169,87.53,210,138.68
Morigaon,68,1,1.47,0,0.00,6,16.7,877,604.58,2489,1453.33,3373,2076.08
Nagaon,156,1,0.06,1,1.66,24,189.23,3365,1421.27,7311,4066.97,10702,5679.19
Nalbari,88,1,14.69,0,0.00,23,176.17,1270,698.67,2932,2389.66,4226,3279.19
Sivasagar,103,2,0.00,0,0.00,17,70.97,870,568.66,2741,1984.93,3630,2624.56
Sonitpur,133,0,0.00,0,0.00,15,170.99,1707,804.45,3595,2686.13,5317,3661.57
South Salmara,15,0,0.00,0,0.00,1,0.54,68,74.46,191,160.96,260,235.96
Tamulpur,26,0,0.00,0,0.00,1,39.29,148,116.68,562,262.49,711,418.46
Tinsukia,153,1,13.22,0,0.00,21,347.06,1043,722.35,3544,2763.81,4609,3846.44
Udalguri,51,0,0.00,0,0.00,4,0.72,516,224.17,1941,1078.36,2461,1303.25
West Karbi Anglong,22,0,0.00,0,0.00,0,0,38,68.97,284,154.39,322,223.36
