District,Total Branch,Current Year Self-Help Group No.,Current Year Self-Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Amt. %
Bajali,32,"1,690","5,527.00","2,707","6,185.50",8,27.98,22,14.57,0.24
Baksa,35,"2,529","9,241.21","4,696","11,822.02",13,28.23,148,79.89,0.68
Barpeta,92,"5,886","19,225.36","9,306","18,837.13",119,132.37,325,144.94,0.77
Biswanath,58,"4,463","13,769.05","8,118","18,544.14",131,221.89,99,112.18,0.60
Bongaigaon,64,"2,725","9,348.87","5,402","11,267.14",168,196.49,47,26.57,0.24
Cachar,167,"5,043","16,342.17","7,876","14,772.79",174,253.29,180,78.38,0.53
Charaideo,36,"1,919","6,935.80","3,996","8,666.61",55,49.37,39,14.34,0.17
Chirang,38,"2,379","7,024.98","4,053","9,698.21",141,244.53,106,50.60,0.52
Darrang,71,"4,254","13,693.02","7,142","15,968.38",81,116.11,116,105.76,0.66
Dhemaji,47,"4,635","16,522.99","7,287","18,068.58",167,228.82,116,47.25,0.26
Dhubri,89,"5,203","14,197.95","8,189","13,517.69",449,723.76,321,114.46,0.85
Dibrugarh,187,"5,642","20,050.53","8,775","21,644.00",217,394.16,202,95.15,0.44
Dima Hasao,32,534,"1,577.21","1,100","2,581.98",20,24.80,5,2.39,0.09
Goalpara,73,"4,027","13,708.17","7,369","17,147.73",124,269.22,167,113.36,0.66
Golaghat,124,"5,923","21,349.19","10,215","25,891.04",254,508.45,105,68.58,0.26
Hailakandi,46,"2,020","5,916.86","3,573","6,585.51",280,302.00,100,43.47,0.66
Hojai,60,"3,137","10,132.92","4,961","8,889.56",55,81.61,91,53.83,0.61
Jorhat,140,"4,519","16,037.18","7,665","19,838.91",179,297.23,33,21.07,0.11
Kamrup Metro,179,"7,902","27,426.16","14,288","32,841.68",294,708.10,374,252.07,0.77
Karbi Anglong,66,"3,730","11,385.00","6,586","18,366.14",41,23.56,66,32.86,0.18
Karimganj,92,"2,282","6,824.00","4,046","7,189.66",52,86.62,131,85.39,1.19
Kokrajhar,57,"3,724","10,941.56","5,766","10,961.29",301,270.68,50,26.38,0.24
Lakhimpur,92,"6,256","20,301.44","10,173","21,153.62",176,319.36,141,45.36,0.21
Majuli,17,753,"3,012.81","1,982","3,867.31",65,86.62,30,18.82,0.49
Morigaon,68,"3,487","12,421.78","6,158","12,664.17",112,279.08,399,207.53,1.64
Nagaon,156,"8,862","32,231.67","15,212","33,780.50",195,189.86,211,108.03,0.32
Nalbari,88,"4,385","16,501.48","8,148","20,592.15",93,234.68,141,105.45,0.51
Sivasagar,103,"3,301","11,041.63","5,701","11,873.13",84,106.78,72,28.76,0.24
Sonitpur,133,"6,663","22,821.33","9,631","23,039.85",94,112.71,257,118.34,0.51
South Salmara,15,416,"1,161.04",936,"1,648.44",17,16.58,141,34.82,2.11
Tamulpur,26,"1,220","3,954.86","2,522","6,422.60",30,37.08,17,11.76,0.18
Tinsukia,153,"5,179","19,149.72","8,036","20,455.81",144,222.52,135,64.40,0.31
Udalguri,51,"4,243","12,030.18","6,300","13,659.49",154,136.41,65,74.02,0.54
West Karbi Anglong,22,"1,474","4,648.24","2,387","5,872.91",21,18.66,52,16.97,0.29
