District,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C No.,Forestry and wasteland Dev. Amt,Water Resource A/C No.,Water Resource Amt,Farm mechanization A/C No.,Farm mechanization Amt,Plantation & horticulture A/C No.,Plantation & horticulture Amt,Animal Husbandry A/C No.,Animal Husbandry Amt,Fishery A/C No.,Fishery Amt,Farm Credit Others A/C No.,Farm Credit Others Amt,Agri. Infrastructure A/C,Agri. Infrastructure Amt,Ancillary Activities A/C,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Bajali,32,2702,4325.40,23,18.70,0,0,2885,1964.12,1,3,936,1746.97,35,142.18,2255,3963.60,2,3,283,456.37,9122,12623.34
Baksa,35,4003,3831.37,5,2.00,0,0,383,220.00,1,3,319,965.06,34,43.75,2334,5405.50,1,4.75,482,746.03,7562,11221.46
Barpeta,92,11508,16570.23,366,305.31,0,0,6456,4466.09,51,61.35,878,1060.77,213,157.59,9169,15015.59,157,197.33,1935,6141.49,30733,43975.75
Biswanath,58,5641,6245.49,6,5.71,0,0,703,701.38,0,0,1403,3817.34,15,24.64,4053,6702.25,7,55.43,1267,3684.38,13095,21236.62
Bongaigaon,64,5238,11719.35,123,103.63,0,0,2090,1491.75,24,51.78,235,622.31,17,27.79,7070,6908.02,4,1.55,1469,3658.54,16270,24584.72
Cachar,167,7448,10102.30,555,516.16,0,0,3750,2945.54,8,17.5,411,682.71,194,277.03,11869,11528.22,18,1152.31,2264,8080.38,26517,35302.15
Charaideo,36,5422,4706.04,0,0,0,0,76,98.15,0,0,260,796.33,6,9.43,3473,5605.75,8,8.45,1304,3023.64,10549,14247.79
Chirang,38,4105,5439.61,-,-,0,0,552,739.74,0,0,71,138.41,2,1.35,2972,3972.98,4,1.85,980,1361.29,8686,11655.23
Darrang,71,8479,10398.29,159,147.11,2,3.33,6082,3832.72,10,17.93,478,754.87,198,340.8,10162,11769.39,187,164.79,1507,4160.21,27264,31589.44
Dhemaji,47,7643,7541.08,-,-,0,0,2737,2692.96,1,0.45,867,2713.78,18,18.68,2441,6047.95,3,1.42,1417,1570.39,15127,20586.71
Dhubri,89,7035,12316.75,247,211.36,0,0,2255,2371.23,1,1.98,343,576.56,49,70.69,4200,6245.32,17,37.84,1349,3145.76,15496,24977.49
Dibrugarh,187,19917,20346.15,280,216.28,4,14.31,4605,3340.78,5,21.27,1766,4486.58,39,43.26,12291,14771.39,104,248.53,7843,24744.66,46854,68233.21
Dima Hasao,32,207,244.55,1,2.50,0,0,2,4.90,2,2.4,121,244.47,0,0,473,1165.18,0,0,133,453.40,939,2117.40
Goalpara,73,7948,11282.27,84,67.23,0,0,2454,1682.19,7,22.57,508,1352.62,8,2.8,4699,7396.90,0,0,1832,2258.31,17540,24064.89
Golaghat,124,13444,12695.65,107,90.43,0,0,3351,2856.02,17,45.82,1161,3521.56,32,61.64,12888,16153.19,76,262.33,4140,11883.65,35216,47570.29
Hailakandi,46,2503,2888.31,0,0,0,0,319,275.83,0,0,345,741.89,16,6.44,1846,2950.25,3,919.5,969,1816.65,6001,9598.87
Hojai,60,5910,7548.98,16,14.33,0,0,1960,1353.34,26,33.88,96,138.34,153,195.56,2888,4440.35,53,197.98,1260,2588.93,12362,16511.69
Jorhat,140,9772,9063.79,231,165.28,1,0.3,2287,1476.15,30,25.08,487,1267.79,36,28.15,12516,16358.27,201,532.58,4572,31070.88,30133,59988.27
Kamrup Metro,179,16384,19813.40,725,712.51,0,0,8071,6423.35,14,32.86,1464,2923.94,97,223.32,18761,18957.03,10,95.49,5530,7345.17,51056,56527.07
Karbi Anglong,66,5560,3501.94,14,10.38,0,0,649,447.68,60,92.9,1075,2727.51,29,25.93,3989,9968.79,0,0,809,539.65,12185,17314.78
Karimganj,92,3021,4704.51,135,118.39,0,0,521,315.12,0,0,360,826.13,160,398.76,5649,5712.74,9,19.3,1422,1961.57,11277,14056.52
Kokrajhar,57,7198,13571.60,124,118.09,0,0,1039,1407.14,12,32.28,333,400.51,47,90.17,5554,6032.46,4,7.02,1701,3125.18,16012,24784.45
Lakhimpur,92,17102,15407.10,3,4.45,0,0,4454,3918.38,20,40.39,837,2350.56,59,116.45,6056,10627.35,17,51.41,2402,4230.63,30950,36746.72
Majuli,17,2041,2837.36,-,-,0,0,-,-,0,0,120,475.54,65,16.39,1419,1299.63,0,0,198,234.01,3843,4862.93
Morigaon,68,11405,12133.72,33,29.34,8,22.32,2342,2103.98,1,2,834,812.25,307,680.56,4187,6896.64,25,41.18,1742,1872.61,20884,24594.60
Nagaon,156,17960,19901.30,97,102.13,0,0,7810,5546.49,14,21.73,1233,2260.14,673,1732,16202,24483.40,89,128.14,3966,6915.88,48044,61091.21
Nalbari,88,6923,11106.52,96,73.60,0,0,5258,4349.10,10,13.99,874,1997.56,39,62.08,8280,12014.87,5,11.73,1296,3869.22,22781,33498.67
Sivasagar,103,8465,9757.05,176,128.07,0,0,2843,1764.90,2,2.2,658,756.51,179,169.85,15723,12132.59,81,376.86,4062,7110.46,32189,32198.49
Sonitpur,133,8270,10704.00,132,104.24,0,0,5554,3357.45,36,15.59,1125,2711.94,77,134.06,11805,14979.76,45,81.97,4159,8049.87,31203,40138.88
South Salmara,15,588,898.57,-,-,0,0,-,-,0,0,40,45.07,24,24.3,365,703.34,0,0,10,33.88,1027,1705.16
Tamulpur,26,1270,2745.99,0,0,0,0,32,35.25,0,0,284,623.7,0,0,1319,2518.70,0,0,572,447.69,3477,6371.33
Tinsukia,153,13178,14918.59,99,91.10,0,0,4055,2617.02,15,42.5,766,3295.89,26,33.09,7761,12949.42,95,1136.11,3353,24437.24,29348,59520.96
Udalguri,51,5714,4505.81,0,0,0,0,18,12.85,3,7.05,313,712.76,3,3.96,5041,7476.13,275,144.1,1213,1291.07,12580,14153.73
West Karbi Anglong,22,2613,1668.70,0,0,0,0,0,0,0,0,200,581.20,0,0,1609,4532.44,0,0,15,44.24,4437,6826.58
