district,Bank Name,CHRISTIANS No,Amt,MUSLIMS No,Amt,BUDDHISTS No,Amt,SIKHS No,Amt,ZORASTRIAN No,Amt,JAINS No,Amt,Tot Minority No,Amt
Bishnupur,,733,4592.43,661,4592.43,6,4592.43,40,4592.43,0,4592.43,2,4592.43,1442,4592.43
Chandel,,3843,17816.66,23,17816.66,2,17816.66,0,17816.66,0,17816.66,0,17816.66,3868,17816.66
Churachandpur,,14616,77778,1107,77778,22,77778,11,77778,0,77778,0,77778,15756,77778
Imphal East,,2480,19642.42,2514,19642.42,9,19642.42,53,19642.42,0,19642.42,6,19642.42,5062,19642.42
Imphal West,,15633,78423.51,5137,78423.51,29,78423.51,138,78423.51,1,78423.51,48,78423.51,20986,78423.51
Jiribam,,217,934.55,188,934.55,1,934.55,2,934.55,0,934.55,0,934.55,408,934.55
Kakching,,1004,4164.96,223,4164.96,1,4164.96,58,4164.96,0,4164.96,0,4164.96,1286,4164.96
Kamjong,,202,768.39,7,768.39,0,768.39,0,768.39,0,768.39,0,768.39,209,768.39
Kangpokpi,,5243,24767.12,198,24767.12,4,24767.12,12,24767.12,0,24767.12,1,24767.12,5458,24767.12
Noney,,1094,2324.25,2,2324.25,0,2324.25,1,2324.25,0,2324.25,0,2324.25,1097,2324.25
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,,8673,40573.06,332,40573.06,10,40573.06,10,40573.06,0,40573.06,0,40573.06,9025,40573.06
Tamenglong,,2136,10450.4,14,10450.4,0,10450.4,0,10450.4,0,10450.4,0,10450.4,2150,10450.4
Tengnoupal,,2625,9899.43,192,9899.43,3,9899.43,3,9899.43,0,9899.43,0,9899.43,2823,9899.43
Thoubal,,553,12407.89,4028,12407.89,4,12407.89,10,12407.89,3,12407.89,2,12407.89,4600,12407.89
Ukhrul,,4416,19464.16,31,19464.16,1,19464.16,4,19464.16,1,19464.16,0,19464.16,4453,19464.16
