District,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Bishnupur,225,480.69,1040,2189.12,34,1200077,379,1787.45
Chandel,3,22.85,25,109.58,21,88.84,419,844.28
Churachandpur,20,308.14,142,734.98,505,2632.03,6031,25070.2
Imphal East,55,287.02,394,1005.21,83,443.43,1207,6710.99
Imphal West,208,1117.78,1571,5236.41,342,2369905,11155,28421.68
Jiribam,9,83.31,46,223.24,2,21.95,112,302.64
Kakching,330,1766.33,2728,10414.8,20,154.99,412,1526.47
Kamjong,0,0,4,20.77,7,0.07,19,23.85
Kangpokpi,27,36.76,142,565.18,126,693.82,1348,3329.37
Noney,0,0,12,43.02,60,74.15,826,1047.16
Pherzawl,0,0,0,0,0,0,0,0
Senapati,2,19,40,143.33,171,806.3,1990,5530.26
Tamenglong,0,0,5,26.3,116,1371.88,1926,9730.23
Tengnoupal,8,29.3,63,298.9,94,180.63,1368,2503.82
Thoubal,44,155.31,320,1005.66,32,54.15,308,1150.19
Ukhrul,2,27,21,158.05,180,826.01,2945,9405.24
