District,Sanctioned No.,ofwhichgirlstudent Sanctioned No.,Sanctioned Amt,ofwhichgirlstudent Sanctioned Amt,Disb. Number,ofwhichgirlstudent Disb No.,Disb. Amt,ofwhichgirlstudent Disb Amt,O/S No.,ofwhichgirlstudent O/S No.,O/S amt,ofwhichgirlstudent O/S Amt
Bishnupur,7,3,17.25,9.37,7,4,6.88,3.44,31,12,86.57,25.04
Chandel,1,0,2.02,0,2,0,2.77,0,9,5,26.9,13.71
Churachandpur,15,12,37.67,24.93,17,14,35.42,26.07,85,64,202.19,139.6
Imphal East,22,9,75.88,18.67,32,19,53.28,31.86,155,78,774.26,427.28
Imphal West,91,44,793.86,424.55,240,129,806.28,470.93,743,356,4873.93,2763.7
Jiribam,0,0,0,0,0,0,0,0,1,1,0.54,0.54
Kakching,2,1,1.74,0.69,8,5,7.05,5,30,14,85.09,39.43
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,1,0,7.5,0,8,4,17.06,11.78,21,13,155.86,103.28
Noney,1,0,1.01,0,1,0,1,0,3,2,6.5,5.49
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,4,2,7.15,3.7,8,2,11.61,1.98,53,27,227.26,99.62
Tamenglong,0,0,0,0,0,0,0,0,9,7,21.55,16.01
Tengnoupal,0,0,0,0,0,0,0,0,4,1,24.39,15.53
Thoubal,18,5,51.18,13.84,16,8,21.16,9.01,65,26,234.1,93.77
Ukhrul,0,0,0,0,1,1,0.27,0.27,9,5,21.15,15.81
