District,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,womenbeneficiaries No.,womenbeneficiaries Amt,Minority Communities No.,Minority Communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Total Weaker Sec O/S No.,Total Weaker Sec O/S Amt
Bishnupur,9369,10446.93,570,789.25,91,247.21,0,0,490,447.72,6129,2130.39,603,832.94,26,0.44,686,684.33,17964,15579.21
Chandel,162,134.08,3,2.92,357,478.75,0,0,2,0.06,132,56.03,416,909.45,0,0,35,66.34,1107,1647.63
Churachandpur,4441,13004.31,29,54.28,2845,7447.85,0,0,265,355.31,998,474.03,3643,11872.13,246,0.12,98,166.65,12565,33374.68
Imphal East,8394,12132.36,130,271.37,760,3113.33,1,0.13,930,1150.49,12013,3261.92,840,2898.69,50,0.08,803,888.33,23921,23716.7
Imphal West,25737,50313.5,603,1616.69,1765,7875.73,5,0.4,824,835.49,12079,4171.16,1372,8563.78,162,1.71,1077,2423.5,43624,75801.99
Jiribam,231,439.24,10,4.02,20,8.18,0,0,54,35.99,206,54.55,13,32.08,0,0,3,12.25,537,586.31
Kakching,2749,6260.36,1248,3128.09,148,207.55,0,0,195,167.69,2444,757.03,119,260.75,0,0,193,293.44,7096,11074.91
Kamjong,5,4.98,0,0,12,4.93,0,0,0,0,12,4.47,40,60.11,0,0,1,0.11,70,74.6
Kangpokpi,1077,2089.01,88,383.36,704,1638.92,0,0,30,36.04,346,161.51,1133,3287.36,0,0,24,18.98,3402,7615.18
Noney,490,468.43,3,3.53,478,538.57,1,0.05,77,94.53,276,141.06,553,728.02,1,0,3,4.84,1882,1979.03
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,2563,4500.86,0,0,817,1335.19,0,0,95,257.84,846,388.08,2364,6918.79,0,0,47,58.35,6732,13459.11
Tamenglong,1763,8868.65,0,0,254,563.86,14,0.94,5,7.41,86,31.66,422,1281.31,4,0,4,8.59,2552,10762.42
Tengnoupal,878,1635.66,18,83.73,714,931.15,0,0,148,134.6,422,236.06,553,720.8,3,0.12,54,104.23,2790,3846.35
Thoubal,9222,12778.83,115,232.29,103,211.48,1,0.13,778,1017.84,9049,2371.15,1242,1305.59,136,1.14,560,656.82,21206,18575.27
Ukhrul,1827,7699.33,0,0,1196,1575.61,0,0,33,27.47,283,124.78,276,626.78,0,0,74,75.48,3689,10129.45
