district,CHRISTIANS No,Amt,MUSLIMS No,BUDDHISTS No,SIKHS No,ZORASTRIANS No,JAINS No,Tot Minority Disb No
Bishnupur,73,564.46,102,0,2,0,1,178
Chandel,679,3567.68,3,1,0,0,0,683
Churachandpur,2808,16394.5,155,2,0,0,0,2965
Imphal East,255,3039.64,286,0,5,1,0,547
Imphal West,1260,12300.57,867,5,13,0,14,2159
Jiribam,5,121.33,16,0,0,0,0,21
Kakching,95,706.89,37,0,7,0,0,139
Kamjong,54,235.08,1,0,0,0,0,55
Kangpokpi,1027,5247.44,14,1,4,0,0,1046
Noney,142,384.42,0,0,0,0,0,142
Pherzawl,0,0,0,0,0,0,0,0
Senapati,1772,7348.53,71,2,0,0,0,1845
Tamenglong,230,2151.38,0,0,0,0,0,230
Tengnoupal,308,1640.52,37,0,0,0,0,345
Thoubal,54,2182.07,499,1,1,0,0,555
Ukhrul,596,3842.86,7,0,0,0,0,603
