district,Bank Name,Crop Loan No,Amt,Forestry and wasteland Dev. No,Amt,Water Resource No,Amt,Farm mechanization No,Amt,Plantation & horticulture No,Amt,Animal Husbandry No,Amt,Fishery No,Amt,Farm Credit Others No,Amt,Agri. Infrastructure No,Amt,Ancillary Activities No,Amt,Tot Agri (PS) Disb No,Amt
Bishnupur,,1301,4875.04,46,4875.04,0,4875.04,411,4875.04,0,4875.04,16,4875.04,13,4875.04,997,4875.04,0,4875.04,67,4875.04,2851,4875.04
Chandel,,13,17.17,0,17.17,0,17.17,3,17.17,0,17.17,0,17.17,0,17.17,0,17.17,0,17.17,1,17.17,17,17.17
Churachandpur,,578,819.91,0,819.91,0,819.91,6,819.91,0,819.91,26,819.91,0,819.91,42,819.91,5,819.91,10,819.91,667,819.91
Imphal East,,443,5722.06,73,5722.06,0,5722.06,952,5722.06,0,5722.06,126,5722.06,0,5722.06,696,5722.06,6,5722.06,176,5722.06,2472,5722.06
Imphal West,,1901,19174.2,106,19174.2,0,19174.2,1242,19174.2,3,19174.2,305,19174.2,6,19174.2,2509,19174.2,16,19174.2,359,19174.2,6447,19174.2
Jiribam,,1,6.01,0,6.01,0,6.01,0,6.01,0,6.01,2,6.01,1,6.01,0,6.01,0,6.01,0,6.01,4,6.01
Kakching,,330,1563.63,0,1563.63,0,1563.63,0,1563.63,0,1563.63,15,1563.63,37,1563.63,217,1563.63,0,1563.63,100,1563.63,699,1563.63
Kamjong,,5,23.02,0,23.02,0,23.02,0,23.02,0,23.02,0,23.02,0,23.02,0,23.02,0,23.02,1,23.02,6,23.02
Kangpokpi,,50,128.61,0,128.61,0,128.61,0,128.61,0,128.61,11,128.61,0,128.61,32,128.61,0,128.61,2,128.61,95,128.61
Noney,,97,135.75,0,135.75,0,135.75,0,135.75,0,135.75,0,135.75,0,135.75,29,135.75,0,135.75,2,135.75,128,135.75
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,,465,422.83,0,422.83,0,422.83,0,422.83,0,422.83,0,422.83,0,422.83,23,422.83,0,422.83,4,422.83,492,422.83
Tamenglong,,21,30.15,0,30.15,0,30.15,0,30.15,0,30.15,6,30.15,1,30.15,0,30.15,0,30.15,0,30.15,28,30.15
Tengnoupal,,72,69.65,0,69.65,0,69.65,0,69.65,0,69.65,7,69.65,0,69.65,34,69.65,0,69.65,7,69.65,120,69.65
Thoubal,,847,6137.04,42,6137.04,0,6137.04,717,6137.04,0,6137.04,22,6137.04,4,6137.04,1432,6137.04,0,6137.04,87,6137.04,3151,6137.04
Ukhrul,,52,56.79,0,56.79,0,56.79,0,56.79,0,56.79,40,56.79,0,56.79,38,56.79,3,56.79,2,56.79,135,56.79
