district,Export Credit No,Amt,Education (PS) No,Housing (PS) No,Social Infrastructure No,Renewable Energy No,Informal Credit No,Total Other PS Disb No,Loanstoweaker No
Bishnupur,0,3855.53,10,63,0,0,22,95,2536
Chandel,0,194.78,2,3,0,0,0,5,216
Churachandpur,0,5602.65,17,10,1,0,1,29,1512
Imphal East,0,4841.82,27,184,3,0,28,242,2794
Imphal West,0,15461.97,205,372,1,0,15,593,5219
Jiribam,0,66.95,0,0,0,0,0,0,19
Kakching,0,3095.65,8,21,0,0,4,33,1516
Kamjong,0,33.07,0,0,0,0,0,0,31
Kangpokpi,0,937.54,6,5,0,0,0,11,465
Noney,0,228.18,1,0,0,0,0,1,179
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,0,2274.29,8,11,0,0,0,19,1176
Tamenglong,0,2186.99,0,0,0,0,0,0,247
Tengnoupal,0,188.9,0,0,0,0,0,0,196
Thoubal,0,4439.91,17,116,0,0,12,145,3189
Ukhrul,0,1520.37,1,1,0,0,0,2,378
