district,Agriculture No,Amt,MSME (NPS) No,Exp Credit No,Education (NPS) No,Housing (NPS) No,Personal Loans No,Others NPS No,Total ACP (NPS) No
Bishnupur,0,7132.89,0,0,0,56,493,1492,2041
Chandel,0,4047.87,0,0,0,25,27,538,590
Churachandpur,2,15970.34,0,0,0,109,398,1974,2483
Imphal East,0,24567.12,0,0,8,211,1661,4075,5955
Imphal West,40,105907.9,3,0,50,1038,6039,15472,22642
Jiribam,0,1028.71,0,0,0,2,40,67,109
Kakching,0,5615.64,0,0,0,104,554,653,1311
Kamjong,0,420.52,0,0,0,0,1,45,46
Kangpokpi,0,5432.54,0,0,2,35,95,619,751
Noney,0,539.87,0,0,0,1,3,49,53
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,0,6528.02,0,0,0,44,91,781,916
Tamenglong,0,2206.61,0,0,0,1,152,34,187
Tengnoupal,0,2444.42,0,0,0,5,39,285,329
Thoubal,1,12323.56,0,0,0,157,418,2909,3485
Ukhrul,0,4509.81,0,0,0,2,143,351,496
