District,Bank Name,CY Disbursement No.,CY Disbursement Amt,Outstanding No.,Outstanding Amt
Bishnupur,BOB,10,4,152,201.92
Chandel,BOI,0,0,1,0.85
Churachandpur,BOM,0,0,23,62.77
Imphal East,CAN,0,0,1431,992.82
Imphal West,CBI,51,50.03,798,559.54
Jiribam,IND,0,0,0,0
Kakching,IOB,0,0,22,42.25
Kamjong,PNB,0,0,0,0
Kangpokpi,PSB,0,0,11,10.22
Noney,SBI,0,0,0,0
Pherzawl,UCO,0,0,0,0
Senapati,UNI,0,0,27,46.91
Tamenglong,Total,0,0,0,0
Tengnoupal,AXIS,0,0,0,0
Thoubal,BAND,0,0,708,627.77
Ukhrul,HDFC,2,0.63,15,26.49
