district,Micro No.,Micro Amt.,Small No.,Small Amt.,Medium No.,Medium Amt.,Other MSME No.,Other MSME Amt.,MSME Total O/S No.,MSME Total O/S Amount
Bishnupur,4002,6440,67,701.72,0,0,40,61.2,4109,7202.92
Chandel,538,582.35,2,11.15,0,0,1,1.08,541,594.58
Churachandpur,2615,9491.16,79,819.73,1,74.54,21,50.94,2716,10436.37
Imphal East,8638,19470.81,215,5086.5,31,526.78,181,133.83,9065,25217.92
Imphal West,18329,77444.58,613,31261.19,65,4785.31,616,1171.29,19623,114662.4
Jiribam,596,440.46,10,10.63,0,0,0,0,606,451.09
Kakching,2754,4751.75,111,377.26,1,3.57,0,0,2866,5132.58
Kamjong,75,66.05,0,0,0,0,0,0,75,66.05
Kangpokpi,1159,3068.58,10,125.52,0,0,0,0,1169,3194.1
Noney,379,554.86,0,0,0,0,0,0,379,554.86
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,1913,5996.52,73,198.26,0,0,10,29.41,1996,6224.19
Tamenglong,481,1001.96,19,45.71,0,0,0,0,500,1047.67
Tengnoupal,1180,1497.49,59,65.3,1,0.06,2,2.41,1242,1565.26
Thoubal,5769,10521.97,52,1433.87,1,65.59,16,24.46,5838,12045.89
Ukhrul,1095,1812.73,39,93.95,3,0.6,0,0,1137,1907.28
