district,KCCsfor AH and Allied Activities No,Amt,Farm Production No,Dairy No,Farm Mechanisation No,Poultry No,fisheries No,Godown No,Clinic No,Other No,Total IC- Agri OS No
Bishnupur,301,5916.81,0,26,19,633,517,0,0,1674,3170
Chandel,94,109.9,0,0,0,20,1,0,0,0,115
Churachandpur,387,1250.69,0,109,10,104,38,0,0,448,1096
Imphal East,461,9806.78,9,88,125,1732,145,0,0,2817,5377
Imphal West,772,18654,12,359,28,2199,334,0,1,4562,8267
Jiribam,17,57.61,0,2,0,2,1,0,0,4,26
Kakching,369,1961.62,0,9,3,33,294,0,0,202,910
Kamjong,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,73,360.04,0,7,0,43,2,0,0,131,256
Noney,0,90.43,0,0,0,2,0,0,0,75,77
Pherzawl,0,0,0,0,0,0,0,0,0,0,0
Senapati,57,293.67,0,7,28,9,1,0,0,100,202
Tamenglong,83,129.67,0,7,2,15,2,0,0,75,184
Tengnoupal,52,72.84,0,0,0,1,1,0,0,27,81
Thoubal,312,9380.56,1,25,37,1081,94,0,0,4210,5760
Ukhrul,35,381.15,0,11,0,18,2,0,0,285,351
