district,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Bishnupur,74,21.16,101,193.88,26,160.02,201,375.06
Chandel,1,0.5,41,80.94,1,7.7,43,89.14
Churachandpur,73,24.82,211,504.13,145,1222.66,429,1751.61
Imphal East,214,67.47,573,1106.56,194,1067.8,981,2241.83
Imphal West,576,276.53,1332,2377.3,550,2932.07,2458,5585.9
Jiribam,10,2.05,7,11.42,1,5.41,18,18.88
Kakching,29,5.55,89,169.63,12,67.19,130,242.37
Kamjong,14,6.9,1,3,0,0,15,9.9
Kangpokpi,14,5.82,230,711.81,57,375.32,301,1092.95
Noney,0,0,42,98.99,2,12.14,44,111.13
Pherzawl,0,0,0,0,0,0,0,0
Senapati,12,13.75,132,446.02,100,769.03,244,1228.8
Tamenglong,2,1,39,110.33,7,52.17,48,163.5
Tengnoupal,18,1.54,106,129.95,2,2.67,126,134.16
Thoubal,57,16.66,267,477.27,18,125.15,342,619.08
Ukhrul,7,3.5,149,245.43,13,90.34,169,339.27
