district,Export No.,Export Amt.,Education PS No.,Education PS Amt.,Housing PS No.,Housing PS Amt.,Social Infra No.,Social Infra Amt.,Renewable No.,Renewable Amt.,Other PS No.,Other PS Amt.,OPS Total O/S No.,OPS Total O/S Amount
Bishnupur,0,0,31,86.57,388,3291.03,0,0,0,0,1183,688.75,1602,4066.35
Chandel,0,0,9,26.9,52,655.47,0,0,0,0,56,64.14,117,746.51
Churachandpur,0,0,84,190.98,337,3771.18,0,0,0,0,192,149.22,613,4111.38
Imphal East,0,0,144,474,738,5777.63,4,24.4,1,0.3,7104,1732.55,7991,8008.88
Imphal West,0,0,655,2723.28,2267,21865.18,5,118.8,8,2.37,4440,1340.88,7375,26050.5
Jiribam,0,0,1,0.54,3,21.57,0,0,0,0,1251,388.68,1255,410.79
Kakching,0,0,30,85.09,129,1656.38,2,34.44,0,0,1297,484.21,1458,2260.12
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,17,58.87,97,1309.16,0,0,0,0,40,24.85,154,1392.88
Noney,0,0,3,6.5,0,0,0,0,0,0,0,0,3,6.5
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,52,192.52,149,2077.7,0,0,0,0,322,132.97,523,2403.19
Tamenglong,0,0,9,21.55,7,65.49,0,0,0,0,4,0.24,20,87.28
Tengnoupal,0,0,4,24.39,42,551.56,0,0,0,0,4,16.28,50,592.23
Thoubal,0,0,62,230.15,453,4578.88,0,0,5,1.3,6307,1555.8,6827,6366.13
Ukhrul,0,0,9,21.15,13,90.62,0,0,0,0,196,139.11,218,250.88
