District,No. of KCC issuedduringquarter (Including renewal),KCC Disbursed Amountduringquarter,Total O/S KCC No.,Total O/S KCC Amt,Number ofrupaycard Issued,KCC Cardactivated,No. of KCC foranimalhusbandaryissuedduringquarter (Including renewal),KCC foranimalhusbandary Amountdisbursed duringquarter,AH Totalno. of KCC,AH Outstandingamount,AH Number ofrupaycard Issued,AH Cardactivated,No. of KCC for Fishriesissuedduringquarter (including renewal),KCC for Fishery Amountdisbursed duringquarter,Fishery Totalno. of KCC,Fishery Outstandingamount,Fishery Number ofrupaycard Issued,Fishery Cardactivated
Bishnupur,132,265.49,5004,2966.42,4617,4564,1,7.16,341,290.16,234,230,9,4.6,195,195.81,154,154
Chandel,5,5.28,103,48.84,2,2,4,2.5,90,70.09,6,6,0,0,3,2.65,0,0
Churachandpur,203,558.49,2341,1749.48,1647,1196,3,3.94,241,282.91,105,103,4,10.05,41,82.96,24,24
Imphal East,133,478.36,3258,2988.33,2770,2180,22,55.8,745,657.11,554,554,3,3.45,32,51.71,9,9
Imphal West,264,683.66,12787,11059.02,3620,3213,115,96.76,753,642.29,595,592,7,10,61,69.56,37,36
Jiribam,1,0,72,34.17,23,23,0,0,12,10.66,8,8,1,0,5,4.43,0,0
Kakching,80,126.15,1058,1021.15,977,945,9,7.61,372,292.42,236,236,38,19.75,231,332.1,120,120
Kamjong,5,5.02,5,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,21,35.49,943,559.5,691,600,0,0,58,42.24,28,28,0,0,5,2.02,5,5
Noney,64,58.97,277,224.81,201,201,0,0,3,1.59,3,3,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,219,263.06,1683,1044.94,949,624,0,0,47,22.06,3,3,0,0,0,0,0,0
Tamenglong,23,22.46,135,100.46,34,14,9,7.25,57,53.54,0,0,2,1.09,10,9.76,0,0
Tengnoupal,63,37.76,176,84.57,110,104,21,11.21,83,58.95,34,32,1,0.08,3,7.2,2,2
Thoubal,137,184.77,3097,1899.97,2748,2585,40,47.88,448,346.08,394,378,3,6.76,105,189.31,46,46
Ukhrul,13,16.22,528,358.72,196,182,2,2.96,59,46.56,46,46,1,2.7,3,3.87,1,1
