district,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Bishnupur,28327,129266,23129,68199,192215,86016,9081,105607
Chandel,4349,20402,2266,9527,32743,5938,288,14164
Churachandpur,33411,143948,12018,57499,217077,35602,4103,95013
Imphal East,40238,182202,34041,117985,257652,127788,13515,171738
Imphal West,93083,432001,54193,230106,635931,167021,30521,353710
Jiribam,7079,30422,1872,12871,40067,2749,3017,22967
Kakching,20450,87040,11116,47707,130626,41723,4627,72784
Kamjong,616,2454,377,1496,4324,1263,89,2201
Kangpokpi,14129,36266,6810,17702,57618,12456,1332,33163
Noney,2759,11796,4000,6683,14714,14014,862,10304
Pherzawl,0,0,0,0,0,0,0,0
Senapati,20072,73347,8166,40756,106589,21386,2391,63219
Tamenglong,4405,41715,1017,18268,52799,3440,3495,26168
Tengnoupal,8388,25238,8162,14224,36692,17019,1612,24224
Thoubal,28458,144218,29466,75107,217848,92820,8435,112000
Ukhrul,21458,87802,7081,27688,126103,20078,4384,53530
