District,Bank Name,ATM ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,Branch Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,B/C B/C Total,B/C Fix,B/C Other
Bishnupur,,3,12,0,15,4,19,0,23,448,72,376
Chandel,,4,0,0,4,4,0,0,4,32,9,23
Churachandpur,,26,3,0,29,20,4,0,24,94,44,50
Imphal East,,22,38,10,70,28,3,8,39,569,80,489
Imphal West,,27,65,82,174,14,12,54,80,3577,499,3078
Jiribam,,1,1,0,2,4,1,0,5,21,0,21
Kakching,,1,16,0,17,1,10,0,11,105,26,79
Kamjong,,1,0,0,1,1,0,0,1,4,4,0
Kangpokpi,,10,0,0,10,14,0,0,14,22,15,7
Noney,,1,0,0,1,5,0,0,5,20,11,9
Pherzawl,,0,0,0,0,0,0,0,0,4,2,2
Senapati,,17,0,0,17,14,2,0,16,28,12,16
Tamenglong,,0,1,0,1,3,3,0,6,14,1,13
Tengnoupal,,2,4,0,6,3,4,0,7,23,9,14
Thoubal,,2,25,0,27,8,13,0,21,835,106,729
Ukhrul,,3,5,0,8,5,4,0,9,46,24,22
