District,Micro Tl No.,Amt,Micro Wc No.,Small Tl No.,Small Wc No.,Medium Tl No.,Medium Wc No.,KVIC No.,Others Under MSMEs No.,Clf No.,Total Msme (PS) Disb No.
Bishnupur,389,2092.89,81,5,3,0,0,0,0,0,478
Chandel,146,116.81,30,0,0,0,0,0,0,0,176
Churachandpur,557,4302.61,142,4,8,0,0,3,0,0,714
Imphal East,719,6768.29,350,12,26,7,0,9,1,0,1124
Imphal West,2162,56531.28,736,143,113,7,6,26,5,0,3161
Jiribam,22,111.5,10,1,0,0,0,0,0,0,33
Kakching,350,3318.47,167,11,5,1,0,0,0,0,534
Kamjong,27,14.39,9,1,1,0,0,0,0,0,38
Kangpokpi,195,966.75,65,12,5,0,0,0,0,0,255
Noney,19,78.54,22,0,0,0,0,0,0,0,41
Pherzawl,0,0,0,0,0,0,0,0,0,0,0
Senapati,431,1898.86,119,2,1,0,0,2,0,0,555
Tamenglong,40,426.78,23,4,1,0,0,0,0,0,68
Tengnoupal,50,51.78,34,0,0,0,0,0,0,0,84
Thoubal,573,2207.77,212,2,6,0,0,6,0,0,715
Ukhrul,145,333.63,25,2,0,0,0,1,0,0,173
