district,Current Year No. of Female Account,Current Year Sumof Female Amount,Current Year No. of Male Accountto SC,Current Year Sumof Male Amountto SC,Current Year No. of Male Accountto ST,Current Year Sumof Male Amountto ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amount,SUI O/S No.,SUI O/S Amt.,SUI NPA No.,SUI NPA Amt.,SUI NPA Amt. %
Bishnupur,1,14.6,0,0,0,0,1,14.6,4,74.61,1,15.09,20.23
Chandel,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,0,0,0,0,10,165.71,10,165.71,38,916.06,2,53.46,5.84
Imphal East,9,115.27,6,15.34,4,18.63,19,149.24,40,554.88,6,67.28,12.13
Imphal West,11,184.99,7,76.25,5,48.92,23,310.16,99,1986.17,24,317.99,16.01
Jiribam,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakching,5,58.36,0,0,0,0,5,58.36,13,157.18,0,0,0
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,10,159.35,0,0,0
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,1,17,0,0,0,0,1,17,38,730.77,4,86.64,11.86
Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoubal,0,0,0,0,0,0,0,0,3,7.92,0,0,0
Ukhrul,0,0,0,0,0,0,0,0,0,0,0,0,0
