District,Bank Name,Number ofoperative CASA,Number of Aadhaar Seeded CASA,Number of Authenticated CASA
Bishnupur,BOB,489427,302493,301685
Chandel,BOI,35525,26612,22245
Churachandpur,BOM,263043,192503,119110
Imphal East,CAN,417117,317058,267020
Imphal West,CBI,759611,481057,388632
Jiribam,IND,45695,29319,10552
Kakching,IOB,175063,126068,106946
Kamjong,PNB,5411,3473,2273
Kangpokpi,PSB,104676,65348,53343
Noney,SBI,25953,19772,16391
Pherzawl,UCO,385,385,385
Senapati,UNI,120686,70309,47470
Tamenglong,Total,41641,35979,2799
Tengnoupal,AXIS,41597,30482,23520
Thoubal,BAND,331228,228985,194768
Ukhrul,HDFC,113900,88228,47539
