District,KCCsfor AH and Allied Activities No.,Amt,Farm Production No.,Dairy No.,Farm Mechanisationn No.,Poultry No.,fisheries No.,Godown No.,Clinic No.,Other No.,Total IC-Agri Disb No.
Bishnupur,21,1482.01,0,4,0,385,33,0,0,318,761
Chandel,5,11.87,0,0,0,3,0,0,0,0,8
Churachandpur,20,87.7,0,1,0,14,13,0,0,50,98
Imphal East,25,3264.76,0,16,0,946,37,0,0,732,1756
Imphal West,48,6891.17,0,151,0,1194,66,0,0,1439,2898
Jiribam,2,21.01,0,2,0,0,1,0,0,2,7
Kakching,27,270.5,0,3,0,5,37,0,0,8,80
Kamjong,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,87.73,0,1,0,20,0,0,0,69,90
Noney,0,4.11,0,0,0,2,0,0,0,2,4
Pherzawl,0,0,0,0,0,0,0,0,0,0,0
Senapati,1,58.77,0,3,0,4,0,0,0,4,12
Tamenglong,7,15.13,0,0,0,0,0,0,0,5,12
Tengnoupal,2,5.08,0,0,0,0,1,0,0,17,20
Thoubal,37,2805.89,1,10,0,670,7,0,0,766,1491
Ukhrul,3,23.23,0,3,0,7,1,0,0,35,49
