District,Total Agri (PS) O/S,Total Agri (PS) NPA,Agri NPA Pct,Total Msme (PS) O/S,Total Msme (PS) NPA,Msme NPA Pct,Total Other PS O/S,Total Other (PS) NPA,Other (PS) NPA Pct,Total PS O/S,Total PSA NPA,TOTAL PSA NPA Pct
Bishnupur,11286,1609,10,4109,1996,22,1602,1945,15,16997,5550,14
Chandel,246,135,49,541,174,25,117,26,2,904,335,17
Churachandpur,3881,1406,31,2716,898,17,613,107,1,7210,2411,16
Imphal East,10970,1952,12,9065,3236,13,7991,5664,16,28026,10852,13
Imphal West,26849,11488,16,19623,7885,13,7375,3445,4,53847,22818,13
Jiribam,266,30,4,606,94,12,1255,62,5,2127,186,8
Kakching,3403,920,17,2866,1901,23,1458,755,12,7727,3576,18
Kamjong,10,4,28,75,22,17,0,0,0,85,26,21
Kangpokpi,1474,454,14,1169,351,19,154,28,3,2797,833,14
Noney,631,131,9,379,76,11,3,0,0,1013,207,10
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,2338,589,17,1996,472,14,523,168,2,4857,1229,12
Tamenglong,290,140,35,500,166,16,20,1,0,810,307,18
Tengnoupal,719,165,23,1242,358,28,50,1,0,2011,524,21
Thoubal,10713,1230,7,5838,2624,20,6827,3592,12,23378,7446,13
Ukhrul,905,325,38,1137,377,28,218,51,7,2260,753,30
