district,CY SANCTION A/C No.,CY SANCTION Amt.,CY DISBURSED A/C No.,CY DISBURSED Amt.,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA No.,PMEGP NPA Amt.,PMEGP NPA Amt. %
Bishnupur,6,10.25,24,49.46,631,1022.35,324,517.05,50.57
Chandel,0,0,7,9.41,274,499.19,105,162.95,32.64
Churachandpur,32,146.65,39,87.14,435,707.94,638,2226.11,314.45
Imphal East,18,125.97,28,116.73,958,2376.15,410,1067.25,44.92
Imphal West,59,316.73,125,363.33,1782,5390.45,1022,3640.82,67.54
Jiribam,0,0,0,0,12,22.62,8,12.89,56.98
Kakching,4,5.7,14,32.3,232,434.49,109,165.76,38.15
Kamjong,0,0,0,0,37,66.27,26,51.39,77.55
Kangpokpi,3,28.43,12,29.47,248,711.54,111,267.95,37.66
Noney,1,1.9,1,1.9,37,58.1,168,357.11,614.65
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,3,14.25,13,32.75,558,1182.43,257,386.18,32.66
Tamenglong,3,11.88,4,12.88,202,170.92,458,1310.19,766.55
Tengnoupal,1,4.5,4,2.5,85,187.69,50,111.47,59.39
Thoubal,21,43.92,21,42.78,786,1281.11,390,562.98,43.94
Ukhrul,4,16.06,13,31.51,337,502.19,174,230.77,45.95
