district,During the Quarter Savings Linked No,During the Quarter Savings Linked Amount,During the Quarter Credit Linked No,During the Quarter Credit Linked Amount,Current FY Savings Linked No,Current FY Savings Linked Amount,Current FY Credit Linked No,Current FY Credit Linked Amount,SHG O/S No.,SHG O/S Amt.,SHG NPA No.,SHG NPA Amt.,SHG NPA Amt. %
Bishnupur,341,36.31,71,129.44,504,56.07,103,175.11,398,380.76,51,26.69,7.01
Chandel,250,4.97,0,0,250,4.97,0,0,2,0.06,2,0.06,100
Churachandpur,1392,80.21,46,95.04,1436,88.63,64,137.42,280,241.8,105,39.82,16.47
Imphal East,142,9.15,102,209.84,244,25.14,265,547.53,920,1122.15,23,11.86,1.06
Imphal West,449,98.68,105,190.55,829,245.42,232,433.91,754,828.38,74,66.3,8
Jiribam,59,55.54,0,0,61,55.59,0,0,12,19.08,1,0.33,1.73
Kakching,218,34.08,13,28.5,328,36.76,27,60,121,135.47,13,5.56,4.1
Kamjong,140,14.01,0,0,140,14.01,0,0,0,0,0,0,0
Kangpokpi,230,9.61,4,6,269,10.61,9,34.61,10,34.67,0,0,0
Noney,103,16.72,29,33.5,118,17.03,75,101,77,94.53,8,4.35,4.6
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,593,65.93,18,66.15,617,66.97,27,103.29,114,346.06,1,0.48,0.14
Tamenglong,156,35.4,0,0,177,35.57,0,0,13,11.27,6,0.85,7.54
Tengnoupal,202,11.86,20,41.07,205,11.99,42,81.08,145,134.6,1,0.68,0.51
Thoubal,329,63.46,133,298.61,426,105.86,297,595.55,719,843.02,57,15.28,1.81
Ukhrul,99,7.45,0,0,139,7.94,0,0,32,14.71,15,1.7,11.56
