district,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Bishnupur,95546,58890,61196,92994,154190,23319,2897.74,118722,37379,113483
Chandel,12535,0,5725,6805,12530,834,399.6,11754,4164,9314
Churachandpur,97223,3808,46473,54532,101005,11556,3582.48,76095,24624,68847
Imphal East,99425,50175,59594,89886,149480,23421,3456.29,112526,39944,108261
Imphal West,49013,204756,103057,151866,254923,29476,6749.2,200728,89149,195423
Jiribam,18719,0,8017,10702,18719,2870,657.56,15687,8277,16401
Kakching,29975,50821,34366,46358,80724,11135,1360.41,61085,19447,59555
Kamjong,2260,0,1129,1130,2259,51,111.47,2449,606,1374
Kangpokpi,27376,1769,14205,14934,29139,4905,810.74,19451,8166,14870
Noney,11058,0,5793,5233,11026,1876,476.33,9838,2733,7028
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,38447,0,17723,20636,38359,1392,1543.99,41739,11132,23299
Tamenglong,4550,20594,13372,11772,25144,6764,498.71,24503,11098,15012
Tengnoupal,10735,6057,7537,9236,16773,2303,561.05,17989,5416,12478
Thoubal,82035,72285,64931,89239,154170,25564,2502.83,113265,25366,101621
Ukhrul,6076,65544,36212,35395,71607,15389,3369.43,58676,17775,36399
