District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,Cdr Rural,Cdr Semi-Urban,Cdr Urban,Overall CD Ratio
Bishnupur,2443.57,44458.92,0,46902.49,5891.5,58317.5,3743.33,67952.33,241.1,131.17,,144.88
Chandel,13373.5,0,0,13373.5,20417.8,24.38,189.04,20631.22,152.67,,,154.27
Churachandpur,117922.8,7280.82,0,125203.6,97019.19,6192.18,1248.54,104459.9,82.27,85.05,,83.43
Imphal East,120258.2,13209.61,53288.86,186756.7,103609,7072.53,52007.63,162689.2,86.16,53.54,97.6,87.11
Imphal West,35794.31,48491.37,833281,917566.7,37667.37,58611.77,589191.4,685470.6,105.23,120.87,70.71,74.71
Jiribam,16458.8,268.3,0,16727.1,5104.99,209.42,0,5314.41,31.02,78.05,,31.77
Kakching,1034.8,26918.9,0,27953.7,1220.11,40835.85,0,42055.96,117.91,151.7,,150.45
Kamjong,1343.09,0,0,1343.09,1664.07,0,0,1664.07,123.9,,,123.9
Kangpokpi,41581.56,0,0,41581.56,34037.78,0,0,34037.78,81.86,,,81.86
Noney,4057.92,0,0,4057.92,3736.87,0,0,3736.87,92.09,,,92.09
Pherzawl,4.34,0,0,4.34,0,0,0,0,0,,,0
Senapati,52486.5,1182.48,0,53668.98,49659.98,994.99,0,50654.97,94.61,84.14,,94.38
Tamenglong,777.38,12898.17,0,13675.55,320.86,10676.4,0,10997.26,41.27,82.77,,80.42
Tengnoupal,6498.23,6453.63,0,12951.86,12886.02,4972.94,0,17858.96,198.3,77.06,,137.89
Thoubal,9978.26,45656.07,0,55634.33,15784.55,73883.79,5354.91,95023.25,158.19,161.83,,170.8
Ukhrul,2131.83,39641.44,0,41773.27,4339.69,19770.38,0,24110.07,203.57,49.87,,57.72
