district,BHIM/UP I A/c,BHIM/UP I Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Bishnupur,4976082,124767.8,26772,4915.24,1056,117.64,58709,103201.33,109331,9919.4,32976,820.02
Chandel,1603360,26745.72,56,260.84,24,1.24,2862,369.38,11480,497.74,18397,581.63
Churachandpur,10121927,207061.3,1092,77.77,813,73.42,53647,214290.01,110935,5610.27,64392,1511.63
Imphal East,13280914,363147.2,24634,6056.37,5240,549.82,265805,475295.45,330015,26484.86,61782,1543.37
Imphal West,35493755,945879.5,10778,5143.91,13771,1687.44,403845,1041549.8,897407,50185.12,213762,6003.64
Jiribam,1878618,32476.55,41,210.07,0,0,15183,1247.37,30828,1536.58,2413,83.67
Kakching,3983707,96646.36,12573,1159.8,1163,122.56,42623,206132.5,70518,3841.54,26617,572.33
Kamjong,256038,4370.51,4,0.3,0,0,0,0,156,2.11,1433,32.94
Kangpokpi,4685075,88444.33,38,2.16,48,35.62,12485,2779.85,24589,997.01,37537,1079.33
Noney,536216,13095.27,2764,269.15,1,5.92,2140,188,2698,149.85,2501,86.01
Pherzawl,8,26.25,8,26.25,0,0,1,0,0,0,0,0
Senapati,5368927,118726.6,52,63.54,752,73.2,25291,126344.95,36734,2135.25,33376,862.82
Tamenglong,1324703,28310.86,103,4.26,0,0,13022,1492.28,41660,1962.8,595,16.76
Tengnoupal,1446333,31352.27,1113,130.63,236,31.06,7385,139401.68,19766,1032.71,13495,379.07
Thoubal,8531452,217790.3,29578,7756.47,1367,150.09,96288,248706.62,119724,7080.65,36498,935.06
Ukhrul,3644001,76804.84,2139,216.11,0,0,26290,3666.37,56101,3056.35,18434,480.76
