district,Farm Credit Crop No,Farm Credit Crop Amt,Farm Credit Term Loan No,Farm Credit Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amount
Bishnupur,6537,4564.89,4150,7915.16,56,139.82,543,387.59,11286,13007.46
Chandel,202,154.15,35,50.77,0,0,9,12.94,246,217.86
Churachandpur,2519,2056.71,1326,1626.84,0,0,36,208.83,3881,3892.38
Imphal East,3020,3002.38,6574,10903.17,12,15.35,1364,1994.83,10970,15915.73
Imphal West,13884,14395.99,11251,27536.68,30,377.76,1684,14651.59,26849,56962.02
Jiribam,68,33.06,74,69.72,0,0,124,137.23,266,240.01
Kakching,1330,1744.96,1835,3756.54,7,5.72,231,209.24,3403,5716.46
Kamjong,5,4.98,0,0,0,0,5,26.98,10,31.96
Kangpokpi,1224,1507.3,185,264.56,0,0,65,138.47,1474,1910.33
Noney,214,155.06,393,402.23,0,0,24,90.04,631,647.33
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,2022,1953.22,231,492.99,0,0,85,134.33,2338,2580.54
Tamenglong,158,110.38,110,82.71,0,0,22,26.96,290,220.05
Tengnoupal,203,107.65,502,675.85,0,0,14,25.72,719,809.22
Thoubal,3815,3182.22,6232,10469.5,4,8.05,662,1035.01,10713,14694.78
Ukhrul,559,519.6,311,388.29,4,9.06,31,69.31,905,986.26
