District,Bank Name,Inactive CSP,RuPaycardactivein PMJDY,Firsttimeactive RuPaycard,Aadhaar Authenticated Sb accounts,RuPaycardissuedin KCC
Bishnupur,BOB,6,27757,19735,176204,4628
Chandel,BOI,2,3419,2072,23000,2
Churachandpur,BOM,9,22322,15581,154928,704
Imphal East,CAN,10,30638,23092,174351,4623
Imphal West,CBI,521,71149,48538,422625,3204
Jiribam,IND,0,3987,48,2529,23
Kakching,IOB,0,13233,11846,74018,853
Kamjong,PNB,0,606,746,3628,0
Kangpokpi,PSB,2,8651,10943,53403,520
Noney,SBI,0,2807,2958,7679,72
Pherzawl,UCO,0,0,0,0,0
Senapati,UNI,6,9165,7269,70462,265
Tamenglong,Total,1,4432,1295,4142,14
Tengnoupal,AXIS,1,4166,3694,22056,17
Thoubal,BAND,19,21619,21133,135565,2278
Ukhrul,HDFC,0,12463,7765,46024,63
