district,as_on_30th_september_2023_farm_credit_no,amt,out_of_farm_credit_total_crop_loans_no,amt,out_of_farm_credit_total_investment_credit_no,amt,out_of_farm_credit_total_allied_activities_no,amt,agri_infrastructure_no,amt,ancillary_activities_no,amt,total_agri_no,amt,pct_of_agri_adv_to_total_advance,col_17
Bokaro,78205,52307.75,53982,31738.61,24223,20569.14,17401,12160.26,53,154.08,8017,16811.46,86275,69273.28,8.36,
Chatra,69648,39265.35,55553,29832.46,14095,9432.89,8365,6593.66,6,11.52,5150,8746.21,74804,48023.08,37.84,
Deoghar,113986,61460.97,87426,45199.16,26560,16261.81,18895,10922.88,58,214.19,2081,10696.44,116125,72371.59,20.59,
Dhanbad,95910,57980.27,44384,26291.78,51526,31688.50,33206,15755.12,126,1087.61,6331,22655.47,102367,81723.36,6.14,
Dumka,93689,48863.63,68384,30797.69,25305,18065.94,17301,13062.94,41,27.55,1361,1864.18,95091,50755.36,26.16,
East Singhbhum,111342,75955.56,78175,44294.42,33167,31661.14,21336,18226.85,77,276.75,9689,31439.19,121108,107671.50,5.38,
Garhwa,98189,71154.49,59219,48685.55,38970,22468.94,20975,16348.65,284,79.08,796,1360.53,99269,72594.10,48.33,
Giridih,125742,73561.30,84017,43677.69,41725,29883.61,29791,20563.79,59,518.09,7658,17015.40,133459,91094.79,22.70,
Godda,85230,51317.64,59164,35679.08,26066,15638.56,17500,11039.14,15,5.34,2239,3337.77,87484,54660.74,31.11,
Gumla,60810,33921.00,53806,25927.01,7004,7993.99,4119,5324.43,2,1.40,3982,7946.60,64794,41869.00,36.41,
Hazaribagh,131467,81318.70,77561,49805.38,53906,31513.32,34246,20082.21,27,172.28,6928,25562.26,138422,107053.24,19.58,
Jamtara,53159,30274.25,48953,26322.53,4206,3951.72,2868,2748.26,22,11.97,1706,2660.80,54887,32947.01,37.44,
Khunti,32849,18975.38,27018,13309.51,5831,5665.86,3785,3731.06,4,2.29,1925,4205.92,34778,23183.59,25.64,
Koderma,55644,29125.31,30884,17014.27,24760,12111.04,12440,5880.75,29,211.32,4703,11007.37,60376,40344.00,23.13,
Latehar,37416,29780.42,31097,21813.58,6319,7966.83,4633,6388.02,101,29.21,1367,2674.69,38884,32484.32,32.28,
Lohardaga,38595,22601.38,33554,18177.93,5041,4423.45,2837,2652.45,12,15.66,3000,6604.51,41607,29221.54,32.34,
Pakur,43289,31469.77,29627,19972.19,13662,11497.58,13572,11991.16,122,116.32,2545,4175.24,45956,35761.33,29.49,
Palamu,143065,101333.61,84587,64786.70,58478,36546.91,36011,27372.34,304,104.38,2695,4469.99,146064,105907.99,33.68,
Ramgarh,45358,27635.56,26774,16320.44,18584,11315.12,11287,5858.80,24,34.74,4320,8757.51,49702,36427.80,9.98,
Ranchi,1052214,327986.65,94149,60811.27,958065,267175.38,30236,34716.83,197,7515.05,8928,110431.02,1061339,445932.73,12.25,
Sahibganj,58398,41310.56,40186,28078.94,18212,13231.62,13894,10739.18,27,10.33,2022,1931.08,60447,43251.98,32.23,
Seraikela-Kharsawan,148225,63108.06,57367,32021.39,90858,31086.67,5601,6457.37,18,632.85,4040,10975.96,152283,74716.87,18.81,
Simdega,29007,15648.49,22503,9677.62,6504,5970.87,3400,4025.80,27,21.87,2628,4210.52,31662,19880.87,35.12,
West Singhbhum,82797,59011.93,70586,42966.52,12211,16045.41,5747,9565.99,144,296.60,3099,5911.12,86040,65219.65,19.38,
