district,target_for_fy_2023_24_no,amt,application_received_during_current_fiscal_no,sanctioned_during_the_year_including_application_received_during_previous_year_n,amount,of_which_girl_student_no,amount,disbursed_during_the_financial_year_2023_24_till_30th_september_2023_no,amount,education_loan_outstanding_as_on_30092023_no,amount,of_which_girl_student_no,amount,col_15
Bokaro,1775,3837.00,335,335,2017.88,119,899.81,811,1367.58,3228,12764.82,961,3958.10,
Chatra,79,148.00,12,12,58.48,2,9.89,38,66.97,253,847.87,39,131.09,
Deoghar,582,1389.00,102,102,554.64,35,219.80,269,495.62,1137,4751.29,288,1322.25,
Dhanbad,2533,4921.00,601,601,2702.28,174,840.09,935,1547.29,5316,18723.01,1319,5032.99,
Dumka,125,241.00,22,22,122.01,5,45.66,44,82.65,270,1004.67,75,263.94,
East Singhbhum,3434,11722.00,784,784,5586.74,326,2283.07,1467,3907.20,8547,55917.04,2798,14452.35,
Garhwa,123,228.00,24,24,68.79,6,17.06,67,119.54,288,942.01,62,197.31,
Giridih,425,875.00,97,97,542.68,18,138.66,214,326.63,1092,3442.70,222,830.12,
Godda,187,312.00,34,34,120.22,15,75.81,75,97.49,451,1388.69,116,355.15,
Gumla,252,403.00,132,132,278.57,117,200.28,166,205.42,553,1101.42,379,541.29,
Hazaribagh,575,1493.00,141,141,877.95,28,223.66,336,671.43,1426,5746.64,322,1400.89,
Jamtara,237,324.00,41,41,120.04,30,62.30,58,74.92,314,710.85,173,235.20,
Khunti,78,173.00,23,23,210.60,10,47.10,41,82.59,181,566.99,60,159.59,
Koderma,295,612.00,53,53,359.62,13,141.21,139,239.67,553,2033.83,125,459.96,
Latehar,65,82.00,11,11,29.49,6,11.88,31,50.35,155,504.57,39,111.35,
Lohardaga,74,127.00,14,14,54.73,6,18.66,34,52.74,219,831.87,67,253.11,
Pakur,130,106.00,6,6,13.61,3,5.14,16,25.58,155,351.55,77,100.16,
Palamu,290,595.00,74,74,332.37,32,188.68,148,244.86,788,2660.54,180,626.83,
Ramgarh,426,993.00,104,104,883.32,44,477.98,215,404.47,1116,4031.55,316,1293.50,
Ranchi,5442,18995.00,1636,1636,11106.74,755,4074.86,2474,5808.66,12373,63380.93,4791,20504.25,
Sahibganj,211,277.00,134,134,218.08,125,190.58,166,246.19,634,1389.63,401,617.33,
Seraikela-Kharsawan,839,1184.00,182,182,725.77,57,271.77,244,424.79,1895,6398.35,465,1446.26,
Simdega,46,75.00,16,16,78.15,11,30.53,23,28.39,139,374.21,69,147.38,
West Singhbhum,685,1388.00,205,205,781.06,154,448.50,357,611.58,1594,6743.47,792,2426.22,
