district,pmjjby_no_of_enrollments,no_of_eligible_cases,no_of_renewals,pmsby_no_of_enrollments,no_of_eligible_cases,no_of_renewals,apy_enrollments_target_for_fy_2023_24,total_subscriber_from_01042023_to_30092023,total_subscribe_rs_since_inception
Bokaro,203038,1769839,123347,571123,2410030,365583,18382,7842,86055
Chatra,175830,706400,110950,335973,901740,246826,5800,8257,52060
Deoghar,185245,756910,112306,531665,1152776,369230,12403,13759,110175
Dhanbad,255870,2273705,143695,705052,3130952,426663,25966,9564,101182
Dumka,190535,537143,127986,454108,867268,343471,10440,10800,77213
Garhwa,119218,544704,69029,294018,759419,196062,7495,7782,48179
Giridih,313007,1818858,177819,663993,2366670,460224,14634,16202,111577
Godda,158383,550948,96074,407431,866023,285617,9191,11264,87482
Gumla,142952,740233,81647,307656,935761,182308,6871,6844,54094
Hazaribagh,258739,1566640,150379,580641,2035447,412942,15526,12777,99064
Jamtara,99280,390105,63569,257658,582555,185409,6068,6068,48182
Khunti,70105,420760,35733,157394,532469,88798,4462,4068,26491
Koderma,94491,642990,58565,237393,838404,153501,6068,4380,33902
Latehar,93178,368142,61171,218200,526860,159575,4194,5428,39255
Lohardaga,70560,498855,38968,157899,627468,96055,3926,3596,28534
Pakur,102357,395335,65268,325302,600977,253506,5443,10174,72644
Palamu,216460,881911,130483,503515,1292966,356902,11243,11814,72317
Ramgarh,118107,838716,69084,294142,1105532,193573,10172,3535,38823
Ranchi,359517,3044395,199199,890937,3913043,525722,42920,19393,192916
Sahibganj,145082,476599,93198,409982,778075,318034,6782,10431,79120
Seraikela-Kharsawan,110606,851888,56868,283495,1090869,164500,10976,5011,50592
Simdega,94178,457893,58140,186607,582164,125665,4462,4773,25294
West Singhbhum,162214,1128585,91639,363612,1444516,228014,11690,7605,70345
