district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastria_ns_no,amt,jains_no,amt,total_no,amt,col_16
Bokaro,1774,3393.27,37562,27418.45,1064,879.14,441,1401.41,1,0.23,163,645.92,41005,33738.42,
Chatra,1992,2073.21,6839,6009.31,3,6.32,60,156.40,3,9.99,21,109.21,8918,8364.45,
Deoghar,4479,3591.70,36862,14620.84,122,168.34,338,298.04,5,30.91,16,50.09,41822,18759.91,
Dhanbad,1926,3811.42,250634,54025.67,1458,699.35,2436,4620.17,,,81,303.02,256535,63459.64,
Dumka,5003,5416.97,10854,8084.67,41,67.15,48,71.61,4,12.88,7,3.43,15957,13656.71,
East Singhbhum,5600,9188.81,99979,47001.24,1482,1404.93,7921,18302.15,40,32.42,150,675.52,115172,76605.08,
Garhwa,5058,5483.57,12135,6834.84,16,6.22,33,46.16,,,21,8.89,17263,12379.68,
Giridih,2927,2682.58,43544,27958.64,55,79.86,121,1678.24,2,0.81,99,291.87,46748,32692.00,
Godda,3398,3238.19,14543,13208.87,47,33.03,85,49.67,,,11,6.37,18084,16536.13,
Gumla,6938,6998.13,6933,5025.33,5,6.74,71,83.84,1,0.20,4,27.57,13952,12141.80,
Hazaribagh,3548,4781.07,76909,32228.92,347,270.88,275,1389.42,26,6.62,168,530.87,81273,39207.77,
Jamtara,2883,2093.08,10639,6726.98,8,2.53,22,80.47,,,9,15.43,13561,8918.49,
Khunti,4939,5413.76,2300,2342.29,73,41.20,77,140.39,3,6.01,19,106.48,7411,8050.14,
Koderma,490,921.87,44747,8853.72,14,13.65,132,761.55,1,0.44,59,198.65,45443,10749.88,
Latehar,2647,4176.60,5407,4470.48,18,22.19,16,37.41,,,12,14.36,8100,8721.04,
Lohardaga,1466,2314.58,13601,9828.46,4,10.91,20,15.04,1,8.74,19,12.63,15111,12190.36,
Pakur,2411,2612.40,34540,23273.44,3,2.80,69,230.47,2,4.15,7,5.39,37032,26128.65,
Palamu,7626,8366.50,17660,12179.35,13,20.21,64,382.64,4,3.05,42,124.97,25409,21076.72,
Ramgarh,924,2303.85,12611,15620.21,121,144.73,459,1906.53,,,49,305.02,14164,20280.34,
Ranchi,39792,51006.95,390106,149293.75,1084,1511.70,1134,7418.12,6,29.72,294,2924.69,432416,212184.92,
Sahibganj,3171,3399.52,18761,15133.91,72,231.51,96,78.92,1,0.59,17,16.58,22118,18861.02,
Seraikela-Kharsawan,2508,2567.37,23106,9010.34,101,190.86,324,635.82,3,121.54,26,11.41,26068,12537.35,
Simdega,10115,9323.34,2274,1945.23,5,1.72,28,28.53,1,0.72,14,42.22,12437,11341.77,
West Singhbhum,5947,6146.13,8243,8744.09,211,445.75,548,2018.64,15,37.34,78,108.96,15042,17500.91,
