district,export_credit_target_no,amt,achv_no,amt,achv_pct_amt,education_target_no,amt,achv_no,amt,achv_pct_amt,housing_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,99,226.50,,,0.00,1535,2804.00,791,1110.67,39.61,1237,6533.00,453,2207.84,33.80
Chatra,66,138.00,,,0.00,75,145.00,38,66.97,46.18,25,180.00,12,64.71,35.95
Deoghar,91,236.00,,,0.00,528,1043.00,261,422.55,40.51,498,2601.00,184,479.36,18.43
Dhanbad,109,258.00,,,0.00,2335,4172.00,905,1266.82,30.36,3671,17392.00,2143,4789.84,27.54
Dumka,72,213.00,,,0.00,110,175.00,44,82.65,47.23,192,1449.00,26,176.50,12.18
East Singhbhum,107,255.00,,,0.00,2876,7982.00,1359,2664.21,33.38,3509,18490.00,1664,4205.74,22.75
Garhwa,97,240.00,,,0.00,95,184.00,60,92.23,50.13,90,592.00,42,118.84,20.07
Giridih,112,315.00,,,0.00,360,671.00,207,281.32,41.93,182,1528.00,136,496.08,32.47
Godda,69,219.00,,,0.00,152,283.00,74,94.90,33.53,236,2226.00,30,266.27,11.96
Gumla,78,180.00,,,0.00,165,274.00,166,205.42,74.97,102,732.00,24,192.37,26.28
Hazaribagh,116,226.50,,,0.00,493,1123.00,322,492.30,43.84,668,3942.00,147,962.12,24.41
Jamtara,47,144.00,,,0.00,68,153.00,57,57.04,37.28,19,264.00,7,40.09,15.18
Khunti,45,120.00,,,0.00,69,134.00,38,67.38,50.28,74,413.00,18,71.87,17.40
Koderma,48,135.00,,,0.00,236,393.00,133,170.14,43.29,249,973.00,56,257.58,26.47
Latehar,53,174.00,,,0.00,60,76.00,30,35.35,46.51,36,232.00,24,198.20,85.43
Lohardaga,46,100.50,,,0.00,72,123.00,34,52.74,42.88,61,387.00,22,68.88,17.80
Pakur,46,142.50,,,0.00,52,48.00,16,25.58,53.29,49,405.00,12,64.87,16.02
Palamu,106,180.00,,,0.00,282,572.00,146,233.79,40.87,195,1403.00,71,470.82,33.56
Ramgarh,78,211.50,,,0.00,396,780.00,209,314.02,40.26,293,2432.00,102,674.40,27.73
Ranchi,187,490.50,,,0.00,4562,12101.00,2284,4082.68,33.74,3767,31389.00,1775,11342.07,36.13
Sahibganj,69,219.00,,,0.00,131,206.00,165,244.69,118.78,123,884.00,14,81.90,9.26
Seraikela-Kharsawan,81,205.50,,,0.00,804,1092.00,237,333.41,30.53,563,3000.00,231,860.88,28.70
Simdega,58,105.00,,,0.00,44,53.00,23,28.39,53.57,34,196.00,10,42.68,21.77
West Singhbhum,121,265.50,,,0.00,469,913.00,347,556.18,60.92,229,2357.00,74,743.91,31.56
