district,as_on_30th_september_2023_loans_to_small_and_marginal_farmers_no,amt,loans_to_sc_st_no,amt,loans_to_shgs_no,amt,loans_to_minority_communities_no,amt,od_under_pmjdy_no,amt,beneficiaries_of_dri_scheme_no,amt,loans_upto_₹_1_lakh_to_women_beneficiaries_no,amt,other_loans_to_weaker_sections_no,amt,total_advances_to_weaker_sections_no,amt,pct_of_loans_to_weaker_sections_to_total_advance_amt,col_21
Bokaro,70039,46120.65,14592,11597.10,10244,17929.82,11325,14505.23,2438,8.87,429,33.50,56094,19993.25,5345,5513.25,123175,81066.07,9.79,
Chatra,64751,40896.75,14335,9689.52,7727,11628.11,6940,5159.80,411,5.32,16,8.38,20946,10248.78,676,928.40,77400,49368.47,38.90,
Deoghar,102481,54280.30,23537,15572.81,7445,10110.59,15945,10510.31,799,7.24,56,5.33,31548,11738.50,2783,2183.41,120821,61564.34,17.52,
Dhanbad,72804,43767.25,20164,12996.46,7208,11615.43,34934,28648.54,4357,15.05,479,33.27,67717,26850.19,6549,8463.72,159972,98134.01,7.38,
Dumka,85796,42386.60,26181,19399.91,8191,12368.36,11549,8457.36,875,2.93,24,1.73,44950,20406.37,1967,2319.60,102671,51102.35,26.34,
East Singhbhum,100206,65444.75,48643,30013.01,10569,19678.85,20484,35262.28,1870,12.12,892,70.41,87647,37847.66,5671,12971.19,193612,150276.88,7.50,
Garhwa,90173,65735.98,32527,24595.59,9776,14707.97,12297,8482.48,202,0.18,53,3.97,49647,25205.70,632,647.65,107273,74586.92,49.66,
Giridih,116685,69979.06,24317,14521.95,14335,24104.89,21281,16156.19,826,3.04,120,21.03,79956,33078.58,2486,2468.94,162989,92965.44,23.17,
Godda,74521,46182.46,22205,16948.91,6668,11041.72,11258,8746.16,824,1.70,57,5.05,39337,17292.46,1831,2520.59,94308,56699.05,32.27,
Gumla,57892,32541.69,24184,13575.91,5654,9195.88,10535,6683.58,248,3.08,68,4.43,11839,7133.34,1253,1056.98,65852,40999.59,35.66,
Hazaribagh,111747,75806.93,24558,17405.30,12643,21494.45,20651,21125.44,1951,8.88,143,12.46,59545,28087.67,4683,4980.89,157884,109305.99,19.99,
Jamtara,51020,29854.76,15096,9748.96,4391,5891.20,9539,5258.70,708,3.10,46,4.26,8700,4250.69,627,555.26,56160,33155.08,37.67,
Khunti,32065,19644.64,17140,9726.25,3554,7554.70,4351,3091.97,754,1.68,18,6.52,11080,5722.14,1842,1130.69,38699,24897.59,27.53,
Koderma,47002,28958.68,9739,5533.00,4908,9247.59,9150,6658.64,517,8.10,15,2.15,26053,10036.80,857,1502.84,69145,43584.46,24.99,
Latehar,35180,27807.72,13723,11518.13,5902,10313.03,5721,4135.80,260,4.01,12,1.33,12904,8294.85,531,861.31,44003,33899.85,33.68,
Lohardaga,37843,23627.53,14421,8369.75,3744,6893.35,9441,5920.45,305,0.69,66,10.02,11595,4512.12,778,860.32,47698,32895.36,36.41,
Pakur,39859,27897.51,16994,12488.88,5266,9160.27,12640,13267.18,362,1.45,16,6.08,41547,15515.95,2251,4248.15,68106,42186.14,34.78,
Palamu,129325,96826.30,53207,39828.63,13650,19886.10,16499,12492.20,185,1.09,35,3.14,79221,38911.02,1824,3178.68,172100,115127.20,36.61,
Ramgarh,36836,23645.80,11361,7923.08,5202,9410.86,6363,7137.13,1972,9.87,172,25.17,35889,12892.20,2035,1912.42,69215,46194.03,12.65,
Ranchi,1027597,312874.47,424286,137105.09,15360,32709.43,346336,123775.76,9581,22.25,697,51.53,86166,49286.14,9497,19522.10,1201685,427112.11,11.74,
Sahibganj,52621,37372.44,22593,17675.74,6815,10219.82,10073,10094.07,621,1.83,45,3.39,43299,19978.48,1553,1989.20,80162,50758.96,37.82,
Seraikela-Kharsawan,142485,58708.09,62676,25106.26,6629,12634.01,23290,9251.36,2732,5.01,346,28.08,26945,16676.71,859,1414.35,183862,79746.82,20.08,
Simdega,27732,15861.06,13431,7812.91,4659,6724.43,9216,5483.10,908,1.56,41,3.41,11271,6106.27,583,574.40,35226,22041.27,38.94,
West Singhbhum,75087,48422.29,46645,33424.60,9288,21239.72,11976,12070.20,5750,9.90,570,40.96,33977,18974.58,556,2005.11,105045,76422.19,22.71,
