district,outstanding_loans_to_women_a_cs,amount,individual_women_a_cs,amount,loans_disbursed_to_women_a_cs,amount,col_8
Bokaro,104351,121661.46,56094,19993.25,29743,32639.77,
Chatra,29574,24271.33,20946,10248.78,9901,7882.96,
Deoghar,72809,55504.40,31548,11738.50,20673,16113.13,
Dhanbad,189872,171511.69,67717,26850.19,47108,44196.91,
Dumka,55667,38374.26,44950,20406.37,14744,11221.25,
East Singhbhum,199988,259520.46,87647,37847.66,65397,74656.70,
Garhwa,57636,32478.31,49647,25205.70,16579,11117.77,
Giridih,106979,69025.78,79956,33078.58,32191,24303.06,
Godda,50309,33009.96,39337,17292.46,12002,8799.70,
Gumla,23526,25609.64,11839,7133.34,7674,8363.59,
Hazaribagh,104603,90999.08,59545,28087.67,29641,28962.83,
Jamtara,15302,13584.83,8700,4250.69,4397,3328.08,
Khunti,16971,18120.24,11080,5722.14,6791,6657.52,
Koderma,54976,39161.58,26053,10036.80,14283,14228.87,
Latehar,15682,13706.91,12904,8294.85,4996,3843.30,
Lohardaga,19189,20590.85,11595,4512.12,6724,6646.85,
Pakur,49061,25489.94,41547,15515.95,15098,9107.02,
Palamu,95257,63356.74,79221,38911.02,28574,19821.34,
Ramgarh,50080,55395.61,35889,12892.20,15344,16216.60,
Ranchi,211248,464941.68,86166,49286.14,61857,102395.16,
Sahibganj,52899,30953.49,43299,19978.48,14338,10226.30,
Seraikela-Kharsawan,51654,48028.72,26945,16676.71,15423,15277.16,
Simdega,16034,14352.42,11271,6106.27,5607,4919.55,
West Singhbhum,52691,50949.55,33977,18974.58,16857,15368.88,
