district,as_on_30th_september_2023_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_no,amt,pct_of_msme_to_total_advances,col_13
Bokaro,44647,156371.65,1790,63730.20,225,40519.53,183,420.62,46845,261042.02,31.52,
Chatra,8327,22335.84,131,4042.80,16,250.92,4,1.73,8478,26631.28,20.99,
Deoghar,22658,66035.28,761,26347.31,87,12854.56,100,131.13,23606,105368.27,29.98,
Dhanbad,58832,210132.06,2771,146562.32,359,46551.64,202,3654.49,62164,406900.51,30.59,
Dumka,15568,30490.71,465,14935.24,86,5455.55,63,188.68,16182,51070.18,26.32,
East Singhbhum,64856,287321.50,5676,237229.38,1891,167557.50,206,533.93,72629,692642.30,34.58,
Garhwa,8035,17549.89,194,3346.45,5,68.76,53,68.16,8287,21033.26,14.00,
Giridih,30433,79228.00,650,26325.83,66,12512.87,25,63.39,31174,118130.09,29.44,
Godda,11388,27027.13,413,5864.27,16,1040.59,92,70.37,11909,34002.38,19.35,
Gumla,7143,18588.63,182,2808.80,7,59.56,3,0.18,7335,21457.17,18.66,
Hazaribagh,32886,127717.60,1304,34007.72,111,4061.35,50,141.07,34351,165927.73,30.34,
Jamtara,8485,12188.60,108,1783.16,3,16.35,15,25.35,8611,14013.46,15.92,
Khunti,6559,13068.52,131,2390.15,2,231.86,14,28.87,6706,15719.39,17.38,
Koderma,17011,46690.58,578,8654.10,33,1651.65,11,29.51,17633,57025.85,32.69,
Latehar,4207,11590.92,75,1456.86,8,256.42,8,25.67,4298,13329.88,13.25,
Lohardaga,5843,15952.20,176,3371.74,20,622.73,25,163.37,6064,20110.04,22.26,
Pakur,13400,23496.33,295,7003.71,62,1020.38,7,8.46,13764,31528.89,26.00,
Palamu,13371,39536.10,425,12185.52,27,1126.91,41,70.86,13864,52919.39,16.83,
Ramgarh,22350,66593.06,588,28185.19,64,10419.92,40,82.08,23042,105280.25,28.84,
Ranchi,168298,448975.92,5079,270611.07,760,162258.32,257,590.09,174394,882435.40,24.25,
Sahibganj,14530,20925.77,175,2907.46,23,413.07,6,11.92,14734,24258.23,18.07,
Seraikela-Kharsawan,34732,59465.37,786,53146.53,228,51074.29,145,333.94,35891,164020.12,41.30,
Simdega,4739,10895.60,118,1017.35,3,8.00,6,0.88,4866,11921.83,21.06,
West Singhbhum,17103,41597.33,641,15242.60,72,3087.66,175,146.56,17991,60074.15,17.85,
