district,number_of_pmjdy_accounts_rural,urban,male,female,total,zero_balance,pct_of_zero_bal_a_c,deposits_held_in_the_a_c_in_lakh,overdraft_under_pmjdy_no_of_acc,o_s,rupay_card_issued,rupay_card_pct,rupay_card_activated,aadhaar_seeded,aadhaar_seeding_pct,col_17
Bokaro,565884,249218,345254,469848,815102,69463,8.52,32851.60,2438,8.87,612259,75.11,442653,709015,86.98,
Chatra,647683,24964,303975,368672,672647,50923,7.57,29595.21,411,5.32,447878,66.58,275418,584082,86.83,
Deoghar,810984,233029,474094,569919,1044013,76077,7.29,45538.65,799,7.24,702160,67.26,246481,874248,83.74,
Dhanbad,827049,345605,504492,668162,1172654,97024,8.27,43573.96,4357,15.05,894848,76.31,555920,1048973,89.45,
Dumka,762083,65667,358841,468909,827750,75322,9.10,34138.56,875,2.93,541327,65.40,159525,683604,82.59,
East Singhbhum,545274,314249,363325,496198,859523,65929,7.67,37619.06,1870,12.12,652087,75.87,526878,760530,88.48,
Garhwa,744759,116962,401985,459736,861721,74836,8.68,30602.11,202,0.18,546450,63.41,216637,702125,81.48,
Giridih,1254960,121961,587443,789478,1376921,116965,8.49,61085.50,826,3.04,924648,67.15,688253,1211610,87.99,
Godda,757744,54720,358478,453986,812464,74794,9.21,27438.25,824,1.70,524147,64.51,187963,651623,80.20,
Gumla,524477,72558,264700,332335,597035,65120,10.91,32466.25,248,3.08,388580,65.08,263327,525766,88.06,
Hazaribagh,773685,193249,402626,564308,966934,95935,9.92,74253.76,1951,8.88,640281,66.22,449246,842538,87.14,
Jamtara,446430,32707,219091,260046,479137,38899,8.12,18011.40,708,3.10,305554,63.77,125793,409817,85.53,
Khunti,212950,13069,102787,123232,226019,22612,10.00,11189.20,754,1.68,117403,51.94,127559,201236,89.03,
Koderma,341568,39043,159791,220820,380611,28819,7.57,18819.31,517,8.10,291040,76.47,202616,346939,91.15,
Latehar,526194,47485,266664,307015,573679,48250,8.41,21843.23,260,4.01,368308,64.20,146119,481701,83.97,
Lohardaga,279051,18266,130907,166410,297317,38743,13.03,13293.72,305,0.69,186771,62.82,177091,276289,92.93,
Pakur,611820,56049,301621,366248,667869,54562,8.17,17451.13,362,1.45,455641,68.22,186950,572926,85.78,
Palamu,1019844,268481,592683,695642,1288325,128861,10.00,43973.42,185,1.09,900699,69.91,271449,1052522,81.70,
Ramgarh,287454,35737,136973,186218,323191,30907,9.56,17111.07,1972,9.87,229012,70.86,164929,298971,92.51,
Ranchi,899602,415606,569835,745373,1315208,133103,10.12,63668.95,9581,22.25,839254,63.81,636711,1170665,89.01,
Sahibganj,693699,235988,426023,503664,929687,70983,7.64,27508.44,621,1.83,621711,66.87,176522,778442,83.73,
Simdega,334327,12192,154200,192319,346519,26729,7.71,19272.52,908,1.56,259078,74.77,231142,322932,93.19,
West Singhbhum,656326,123893,355788,424431,780219,59803,7.66,35953.79,5750,9.90,543277,69.63,390856,690727,88.53,
