district,social_infrastructure_target_no,amt,achv_no,amt,achv_pct_amt,renewable_energy_target_no,amt,achv_no,amt,achv_pct_amt,others_target_no,amt,achv_no,amt,total_priority_sector_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,72,472.00,,,0.00,68,363.00,1,0.25,0.07,30108,14210.00,10367,5686.92,132820,284175.28,49012,194969.64,68.61
Chatra,,,,,,,,,,,6397,2992.00,1445,763.40,83758,64750.58,22579,28708.41,44.34
Deoghar,36,108.00,8,18.34,16.98,68,682.00,1,1.00,0.15,53739,32241.00,7032,3267.67,158289,225037.68,47662,112370.32,49.93
Dhanbad,72,536.00,6,44.90,8.38,,,,,,46543,27516.00,19005,10323.10,153568,461097.84,68038,320616.51,69.53
Dumka,36,26.00,,,0.00,683,836.00,12,15.93,1.91,17917,10265.00,4944,2511.60,97179,119654.41,33028,54064.39,45.18
East Singhbhum,84,764.00,5,29.30,3.84,,,,,,55612,31253.00,19512,10621.13,206909,717203.21,80580,564478.32,78.71
Garhwa,12,6.00,1,0.30,5.00,,,,,,16856,8990.00,3415,1732.71,86623,98638.00,29712,36300.35,36.80
Giridih,72,630.00,,,0.00,,,,,,26642,14562.00,9764,5323.43,158668,179305.37,55857,107011.90,59.68
Godda,,,1,0.75,,136,190.00,,,0.00,21015,9797.00,2879,1600.44,97040,103941.30,26753,38704.39,37.24
Gumla,,,1,0.20,,,,,,,5110,2365.00,1643,988.29,57801,57324.70,13995,26113.38,45.55
Hazaribagh,36,30.00,8,4.15,13.83,,,,,,27149,13638.00,6088,3645.82,159852,221968.09,52675,128793.55,58.02
Jamtara,,,,,,,,,,,5409,2851.00,1010,389.86,52086,50354.52,16112,18055.50,35.86
Khunti,96,216.00,,,0.00,,,,,,2935,1653.00,1338,613.29,35117,36943.50,12236,17972.41,48.65
Koderma,12,64.00,,,0.00,,,,,,9090,4588.00,3272,1809.29,75412,82891.90,25373,50715.58,61.18
Latehar,,,,,,,,,,,8127,3500.00,2533,1113.64,38297,43249.01,13756,20262.61,46.85
Lohardaga,,,,,,,,,,,7132,3061.00,1940,950.87,51421,41606.12,12106,22061.33,53.02
Pakur,12,8.00,2,1.50,18.75,,,,,,14643,6314.00,7364,3788.30,53496,64003.62,22794,31905.20,49.85
Palamu,84,270.00,2,6.40,2.37,,,,,,44547,22721.00,7801,4636.96,145998,166374.16,48667,69191.62,41.59
Ramgarh,60,426.00,2,20.50,4.81,68,411.00,1,6.00,1.46,11369,6186.00,4332,2591.59,63184,118987.38,25700,79713.31,66.99
Ranchi,178,1362.00,900,139.60,10.25,136,467.00,1,1.00,0.21,40017,27745.00,16405,12902.53,1223609,1246780.91,443891,818124.28,65.62
Sahibganj,12,8.00,,,0.00,1640,2051.00,17,23.15,1.13,12362,6570.00,5220,2856.44,69449,80113.91,23502,27724.69,34.61
Seraikela-Kharsawan,12,2.00,,,0.00,,,,,,10888,6295.00,3903,3275.21,188533,200672.67,64195,147806.93,73.66
Simdega,,,,,,,,,,,5824,2561.00,1337,547.17,39922,30184.21,9487,13511.32,44.76
West Singhbhum,12,72.00,2,0.80,1.11,,,,,,20341,10126.00,6348,3104.24,107748,103242.07,30243,46652.97,45.19
