district,bc_active_yes_no,male,female,fixed_yes,fixed_no,pos_yes,pos_no,extending_all_basic_banking_facilities_yes,extending_all_basic_banking_facilities_no,limited_services_yes,limited_services_no
Bokaro,4988,4320,668,2568,2420,603,4385,2481,2507,3384,1604
Chatra,4999,4377,622,2070,2929,500,4499,2145,2854,3816,1183
Deoghar,6240,5558,682,2395,3845,614,5626,2362,3878,4275,1965
Dhanbad,5718,4983,735,3512,2206,995,4723,3403,2315,3333,2385
Dumka,3166,2700,466,2121,1045,416,2750,1826,1340,1909,1257
East Singhbhum,2997,2405,592,1555,1442,612,2385,1644,1353,2221,776
Garhwa,9088,8216,872,4264,4824,1043,8045,3731,5357,7376,1712
Giridih,10718,9431,1287,7037,3681,1138,9580,5930,4788,7202,3516
Godda,5887,5044,843,3230,2657,1087,4800,3004,2883,4731,1156
Gumla,2607,2218,389,1480,1127,411,2196,1517,1090,1906,701
Hazaribagh,5107,4306,801,3136,1971,823,4284,3272,1835,3029,2078
Jamtara,1336,1188,148,739,597,208,1128,765,571,770,566
Khunti,1503,1217,286,804,699,277,1226,858,645,1042,461
Koderma,2425,2118,307,1163,1262,279,2146,1073,1352,1682,743
Latehar,4188,3715,473,1594,2594,512,3676,1595,2593,3367,821
Lohardaga,2494,2155,339,877,1617,223,2271,932,1562,2004,490
Pakur,2672,2229,443,1590,1082,515,2157,1239,1433,2025,647
Palamu,8925,7651,1274,5536,3389,1252,7673,4794,4131,5906,3019
Ramgarh,2495,2115,380,1538,957,360,2135,1613,882,1384,1111
Ranchi,6348,5362,986,3888,2460,1012,5336,4116,2232,3604,2744
Sahibganj,3774,3174,600,2687,1087,802,2972,2396,1378,2798,976
Seraikela-Kharsawan,2252,2015,237,1046,1206,221,2031,1093,1159,1582,670
Simdega,1908,1651,257,884,1024,300,1608,912,996,1538,370
West Singhbhum,3420,2837,583,2194,1226,705,2715,2241,1179,2430,990
