district,kccs_for_animal_husbandry_and_allied_activities_as_of_30092023_no,amt,from_01042023_to_30092023_no,amt,farmers_producer_organizations_as_of_30092023_no,amt,from_01042023_to_30092023_no,amt,dairy_as_of_30092023_no,amt,from_01042023_to_30092023_no,amt,farm_mechanization_as_of_30092023_no,amt,from_01042023_to_30092023_no,amt,poultry_as_of_30092023_no,amt,from_01042023_to_30092023_no,amt,fisheries_as_of_30092023_no,amt,from_01042023_to_30092023_no,[no_in_actual_and_amt_in_lakh]_annexure_14_b_amt,rural_godowns_as_of_30092023_no,amt,from_01042023_to_30092023_no,amt,agri_clinics_as_of_30092023_no,amt,from_01042023_to_30092023_no,amt
Bokaro,100,96.86,36,29.21,,,,,1837,1400.44,589,476.68,4976,7005.29,2000,3206.69,580,1127.02,163,745.93,311,148.01,207,101.48,,,,,2,4.47,,
Chatra,120,60.55,31,11.37,,,,,566,383.77,97,93.90,4841,2344.64,1315,854.59,114,105.43,23,43.71,424,189.02,89,35.32,,,,,,,,
Deoghar,285,116.36,97,24.65,3,10.25,1,4.06,1162,1529.82,293,578.97,786,1121.28,108,220.03,30,86.44,7,44.16,19,11.26,5,2.71,40,41.42,,,,,,
Dhanbad,97,150.23,59,104.66,,,,,2159,1576.92,482,451.92,7874,10719.88,2563,4464.90,307,472.84,116,225.19,267,160.04,39,24.60,1,69.28,,,3,2.02,,
Dumka,117,103.88,52,70.60,5,14.47,,,1901,1021.86,370,332.17,663,1304.43,157,115.25,384,148.48,63,34.16,204,59.81,24,10.43,,,,,,,,
East Singhbhum,120,229.34,41,194.21,2,6.98,,,2034,3793.21,1297,2407.56,5396,9019.27,1984,3219.02,707,1127.56,296,551.60,266,183.86,117,94.62,2,18.73,,,1,4.20,,
Garhwa,58,32.25,26,12.88,2,5.33,,,1704,696.52,373,228.85,3705,1263.58,1296,635.34,224,123.09,78,49.26,438,117.38,69,31.50,134,27.58,,,,,,
Giridih,80,55.41,41,23.25,1,1.65,,,1596,938.40,488,435.98,5990,4517.99,1012,1418.62,763,350.31,205,144.51,574,212.15,90,42.05,1,296.36,,,2,1.18,,
Godda,229,190.16,58,25.99,,,,,3573,1217.03,732,362.30,4455,2097.59,1068,473.00,248,237.37,147,137.12,223,80.98,21,11.37,,,,,,,,
Gumla,35,13.96,6,1.02,,,,,209,232.62,108,69.71,2139,1768.45,489,390.30,25,15.06,7,2.95,15,5.19,11,3.95,,,,,,,,
Hazaribagh,414,238.43,106,44.26,,,,,4857,2015.93,2133,1022.22,9755,5802.26,2985,2556.40,460,696.97,193,188.09,773,276.67,412,182.34,4,1007.66,,,,,,
Jamtara,53,20.19,15,9.29,,,,,124,137.25,34,35.94,240,325.47,51,85.43,35,31.48,11,7.24,19,7.80,2,1.90,,,,,,,,
Khunti,121,57.41,42,21.76,2,24.78,,,137,123.23,58,51.69,1612,1162.88,349,298.96,38,47.98,13,11.31,4,2.65,1,0.09,,,,,,,,
Koderma,47,25.77,18,3.84,,,,,214,254.38,40,44.48,2975,1991.04,881,939.02,143,216.57,46,86.94,16,9.52,2,0.62,,,,,,,,
Latehar,236,85.67,135,43.39,,,,,216,216.21,66,114.14,992,1140.92,99,152.59,129,144.53,19,22.12,23,12.16,9,4.20,,,,,,,,
Lohardaga,162,57.56,63,9.74,,,,,168,174.03,47,23.89,744,1097.42,53,119.78,20,11.79,5,3.51,65,52.55,25,18.02,,,,,,,,
Pakur,159,106.89,40,25.89,,,,,3188,1103.48,925,404.13,128,74.67,8,10.62,116,36.77,23,8.85,336,81.79,99,38.99,,,,,1,128.32,,
Palamu,141,69.42,41,17.41,,,,,677,473.41,211,137.30,9910,4122.22,3160,1410.35,1217,1290.60,488,390.46,1033,448.35,429,228.37,,,,,5,58.20,1,52.16
Ramgarh,82,57.25,35,24.64,2,22.39,2,60.00,1986,940.44,1067,556.10,5834,4244.54,1589,2014.85,725,528.07,389,254.29,346,127.44,166,76.18,2,41.02,1,1.15,1,1.07,,
Ranchi,1598,1827.57,333,7022.30,1,0.00,,,4356,5485.03,2111,2943.52,9890,17515.18,1654,4448.95,437,667.02,159,143.99,463,152.72,149,6108.58,4,949.30,,,10,40.30,1,0.48
Sahibganj,365,170.37,174,80.48,,,,,1701,752.30,543,283.43,2006,1580.89,697,451.83,260,108.49,38,26.65,383,167.02,120,77.56,1,76.54,,,,,,
Seraikela-Kharsawan,94,62.34,46,29.03,1,3.40,,,286,1001.43,186,277.93,3119,3795.08,1089,1055.97,85,776.80,29,753.74,80,53.88,31,27.58,,,,,1,13.55,,
Simdega,22,20.83,7,4.32,1,0.01,1,25.41,135,167.09,67,74.28,2082,1192.09,181,129.72,20,10.54,8,2.80,19,5.81,8,2.40,,,,,1,0.85,,
West Singhbhum,107,68.68,29,15.07,,,,,593,666.61,218,251.65,2617,3863.74,249,257.32,247,179.22,81,34.82,59,41.47,27,15.43,125,236.23,,,1,14.50,,
