district,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number
Bokaro,30,18.35,265,161.62,138,74
Chatra,20,15.01,189,92.18,76,56
Deoghar,36,18.46,384,159.38,66,55
Dhanbad,33,32.26,366,264.29,223,125
Dumka,49,10.37,138,59.93,35,29
East Singhbhum,28,32.61,238,147.15,113,67
Garhwa,21,14.58,113,42.69,61,34
Giridih,28,23.53,254,124.32,179,126
Godda,57,22.90,306,247.72,45,34
Gumla,8,8.85,176,74.97,116,43
Hazaribagh,107,86.48,773,471.21,274,194
Jamtara,14,6.20,77,29.44,24,15
Khunti,25,8.15,269,94.33,162,57
Koderma,42,9.23,184,85.64,120,105
Latehar,153,43.68,392,237.83,75,28
Lohardaga,47,23.48,603,254.99,459,338
Pakur,111,15.16,337,318.10,21,6
Palamu,74,39.67,223,169.22,31,19
Ramgarh,24,31.82,240,93.13,175,130
Ranchi,186,73.11,978,474.92,342,190
Sahibganj,215,124.52,546,317.70,136,126
Seraikela-Kharsawan,47,41.91,288,217.08,43,39
Simdega,9,13.56,612,111.57,501,322
West Singhbhum,18,14.61,175,116.48,15,14
