district,target_fy_2023_24_ac,amt,priority_sector_outstanding_as_on_30092022_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_acp_ac,amt,outstanding_as_on_last_day_of_reporting_quarter_ac,amt,non_priority_sector_outstanding_as_on_30092022_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_ac,amt,outstanding_as_on_last_day_of_reporting_quarter_ac,amt
Bokaro,2787,32162,3163,30506.37,453,2207.84,3471,32523.41,3290,46987.34,547,8010.67,3762,61369.48
Chatra,96,1475,173,1350.35,12,64.71,166,1337.32,143,2020.65,14,384.06,179,2860.72
Deoghar,1241,15868,1800,12515.28,184,479.36,1903,12359.23,1224,20049.84,191,2729.44,1602,28096.33
Dhanbad,6265,46629,7976,79302.19,2143,4789.84,10645,85640.57,5355,51773.63,701,7281.92,6490,65273.66
Dumka,282,3277,749,6149.09,26,176.50,748,6043.47,238,4593.19,27,587.78,287,6045.34
East Singhbhum,8246,89381,8088,71845.95,1664,4205.74,10147,76884.53,11400,177197.22,1379,21302.78,12919,207687.29
Garhwa,148,1558,261,2160.81,42,118.84,277,2330.55,134,1804.04,20,366.60,151,2271.88
Giridih,466,7261,943,8326.03,136,496.08,954,7657.76,624,9695.06,99,1791.92,776,14217.14
Godda,313,3676,1150,10051.22,30,266.27,1107,10148.50,246,2686.34,52,637.20,293,3512.92
Gumla,193,2517,325,2582.24,24,192.37,299,2483.64,145,3085.42,34,347.80,191,3890.62
Hazaribagh,1401,16265,2366,19813.48,147,962.12,2344,19419.50,1662,24016.89,260,4007.06,1966,30940.01
Jamtara,70,1077,385,2845.63,7,40.09,356,2500.85,241,2074.25,20,319.45,249,2614.25
Khunti,157,2474,251,2344.18,18,71.87,226,2152.02,151,2869.40,30,349.19,195,3903.71
Koderma,417,3755,650,4132.46,56,257.58,648,4036.92,238,4086.73,60,799.49,327,5958.17
Latehar,93,1307,214,1917.41,24,198.20,188,1975.63,91,1550.00,14,197.83,111,2064.40
Lohardaga,166,2564,298,2412.72,22,68.88,268,2172.16,143,2326.53,42,578.29,187,3889.35
Pakur,171,1896,422,3379.86,12,64.87,395,3426.03,309,4294.28,25,365.80,336,4924.92
Palamu,410,5379,701,6077.73,71,470.82,722,6240.40,402,6716.20,74,1435.54,496,9654.03
Ramgarh,934,13326,1000,9047.47,102,674.40,960,9289.40,1064,19071.70,216,3334.72,1269,23591.07
Ranchi,10307,175796,12413,143568.11,1775,11342.07,12894,149585.75,14574,279586.33,2035,41735.11,17408,365258.37
Sahibganj,216,2191,460,3971.14,14,81.90,462,4088.25,193,2161.76,32,378.29,244,2971.31
Seraikela-Kharsawan,1290,12961,1002,8591.86,231,860.88,1413,10253.97,1423,21026.15,136,1921.11,1567,23855.96
Simdega,74,795,146,1335.74,10,42.68,127,1120.88,60,974.51,14,117.69,88,1445.25
West Singhbhum,441,6410,1040,9347.46,74,743.91,924,8649.55,597,8998.52,84,1691.52,737,12127.01
