district,shgs_credit_linkage_target_fy_2023_24_total_no_shgs_for_credit_linkage,total_disbursement_amt_rs_in_lakh,total_outstanding_amt_rs_in_lakh,achievements_as_on_30092023_total_shgs_repeat_renewals_enhancement_fy_2022_23,total_disbursement_amt_rs_in_lakh,total_outstanding_amt_rs_in_lakh
Bokaro,9780,17900,19010,8797,12627,37719
Chatra,7240,13200,14080,7164,6505,24262
Deoghar,5550,10200,10790,4495,6431,16253
Dhanbad,6250,11400,12140,5469,8753,21924
Dumka,7620,13900,14810,5471,7714,27957
Garhwa,8120,14800,15780,5428,7840,40167
Giridih,13420,24600,26080,10208,12957,68387
Godda,6320,11600,12280,6077,6748,36850
Gumla,6220,11400,12090,3817,6507,25342
Hazaribagh,11380,20800,22120,10160,14236,38573
Jamtara,3730,6800,7260,3051,3696,10586
Khunti,3870,7200,7520,2943,4625,11947
Koderma,4850,8800,9420,5172,7653,19486
Latehar,5700,10400,11070,4441,5282,31873
Lohardaga,3390,6200,6500,2372,3751,11847
Pakur,6040,11000,11700,5174,4309,32421
Palamu,13300,24300,25800,8535,9852,83836
Ramgarh,5900,10800,11400,4848,6331,20188
Ranchi,15400,28300,29900,12027,17606,68812
Sahibganj,6060,11200,11770,5551,5786,48529
Simdega,4540,8300,8830,2914,3761,24424
West Singhbhum,9220,16900,17800,6929,8975,47391
