district,no_of_cases_pending_as_on_previous_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_filed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_disposed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_pending_at_the_end_of_the_quarter_no_of_a_cs,amount_in_lacs
Bokaro,1084,2549.94,60,137.41,1,0.62,1143,2686.73
Chatra,210,473.06,18,96.12,15,81.11,213,488.07
Deoghar,3014,1600.33,350,134.33,,0.00,3364,1734.66
Dhanbad,4436,7824.45,1514,1249.88,733,783.11,5217,8291.22
Dumka,141,91.20,80,48.92,,0.00,221,140.12
East Singhbhum,1212,3189.01,37,151.10,,0.00,1249,3340.11
Garhwa,416,374.67,,0.00,,0.00,416,374.67
Giridih,125,233.16,52,107.46,,0.00,177,340.62
Godda,651,299.71,27,13.66,46,26.42,632,286.95
Gumla,254,411.20,2,0.41,17,14.43,239,397.19
Hazaribagh,1241,4557.25,28,140.75,30,141.48,1239,4556.51
Jamtara,61,152.56,130,43.03,,0.00,191,195.59
Khunti,148,272.73,1,3.00,,0.00,149,275.73
Koderma,88,384.81,16,64.45,20,85.08,84,364.18
Latehar,256,265.96,,0.00,57,39.57,199,226.39
Lohardaga,37,38.82,1,5.04,,0.00,38,43.86
Pakur,157,111.96,562,312.10,27,21.19,692,402.87
Palamu,1686,1928.89,1,1.76,37,14.96,1650,1915.69
Ramgarh,386,1265.88,19,62.04,21,76.70,384,1251.23
Ranchi,2588,7297.02,32,104.57,14,56.66,2606,7344.93
Sahibganj,250,196.57,5,2.30,29,8.47,226,190.40
Seraikela-Kharsawan,287,954.12,6,17.76,,0.00,293,971.87
Simdega,21,89.67,,0.00,,0.00,21,89.67
West Singhbhum,385,1552.00,7,18.84,,0.00,392,1570.84
