district,no_of_cases_pending_as_on_previous_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_filed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_disposed_during_the_quarter_no_of_a_cs,amount_in_lacs,annexure_12_b_no_of_cases_pending_at_the_end_of_the_quarter_no_of_a_cs,amount_in_lacs
Bokaro,190,6073.61,25,202.31,26,538.37,189,5737.55
Chatra,24,569.00,25,600.82,6,77.24,43,1092.58
Deoghar,14,2736.36,25,196.64,12,69.10,27,2863.91
Dhanbad,220,8840.10,117,919.24,61,387.91,276,9371.43
Dumka,2,98.02,23,133.75,16,88.30,9,143.47
East Singhbhum,832,122711.64,146,1527.03,74,1296.20,904,122942.47
Garhwa,6,83.51,37,300.04,30,176.29,13,207.26
Giridih,20,663.66,41,267.41,22,156.80,39,774.27
Godda,11,219.74,23,151.78,20,112.18,14,259.34
Gumla,2,18.45,6,162.33,,,8,180.78
Hazaribagh,85,2896.03,71,1795.42,22,279.86,134,4411.59
Jamtara,,,7,45.30,5,32.70,2,12.60
Khunti,1,34.67,18,443.71,3,14.10,16,464.28
Koderma,29,705.70,55,960.76,22,281.88,62,1384.58
Latehar,2,305.97,9,72.40,10,358.83,1,19.54
Lohardaga,22,354.49,5,684.72,,,27,1039.21
Pakur,4,132.29,25,185.20,24,162.00,5,155.49
Palamu,11,134.75,77,518.58,58,364.43,30,288.90
Ramgarh,108,3102.84,64,2631.91,16,101.40,156,5633.35
Ranchi,1768,122919.45,113,3193.46,143,8871.22,1738,117241.70
Sahibganj,5,95.91,15,112.70,13,98.60,7,110.01
Seraikela-Kharsawan,111,2463.01,12,53.15,6,28.05,117,2488.11
Simdega,2,38.58,,,,,2,38.58
West Singhbhum,77,1022.41,21,237.98,9,51.60,89,1208.79
