district,shishu_accounts,amount,kishor_accounts,amount,tarun_accounts,amount,total_accounts,amount
Bokaro,23134,7581.54,9937,10196.71,3729,7402.92,36800,25181.17
Chatra,2665,914.42,1344,1820.89,252,1687.83,4261,4423.14
Deoghar,11020,3975.61,5549,7333.33,733,5055.88,17302,16364.83
Dhanbad,39257,13938.55,14724,15712.67,3749,10084.13,57730,39735.35
Dumka,11166,3657.40,5704,5568.14,1111,2513.33,17981,11738.87
East Singhbhum,38709,13230.39,16516,16959.93,5193,11606.71,60418,41797.04
Garhwa,5069,2012.86,4135,4055.04,338,2248.95,9542,8316.85
Giridih,59403,19608.10,21171,18170.41,10763,11357.33,91337,49135.83
Godda,4953,1646.19,4689,5126.32,370,2365.47,10012,9137.99
Gumla,1797,521.16,817,1210.43,175,1178.58,2789,2910.17
Hazaribagh,23054,7819.78,11075,11222.52,4732,8368.64,38861,27410.94
Jamtara,1959,512.00,1111,1653.47,160,1065.59,3230,3231.05
Khunti,3188,966.67,1306,1554.12,509,1082.44,5003,3603.23
Koderma,13661,4600.28,6469,5967.74,2834,3646.61,22964,14214.63
Latehar,11922,4049.44,4074,3824.64,2960,3737.52,18956,11611.60
Lohardaga,1828,594.92,1247,1558.14,127,938.26,3202,3091.33
Pakur,23523,7584.92,9902,8450.80,4031,3527.13,37456,19562.85
Palamu,10745,3908.51,9209,8933.95,607,4291.72,20561,17134.17
Ramgarh,4260,1451.34,4200,4821.27,400,2738.73,8860,9011.34
Ranchi,50717,18342.39,24985,26301.28,6677,17502.89,82379,62146.57
Sahibganj,5811,1872.99,5792,6081.89,420,2901.69,12023,10856.57
Seraikela-Kharsawan,7143,2459.43,3480,4072.32,677,1919.54,11300,8451.30
Simdega,1486,448.91,698,773.08,98,596.95,2282,1818.94
West Singhbhum,12384,3975.40,5175,5372.65,1758,2947.83,19317,12295.87
