district,target_no,amt,agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_no,amt,total_nps_no,amt,achv_pct_amt
Bokaro,65372,365602.00,33,66.03,20,256.91,547,8010.67,3947,19922.71,24405,161979.34,28952,190235.66,52.03
Chatra,8874,31886.00,5,3.44,,,14,384.06,735,4109.50,3156,7492.45,3910,11989.46,37.60
Deoghar,41475,116116.00,80,462.09,8,73.07,191,2729.44,1999,7995.12,8298,21945.58,10576,33205.30,28.60
Dhanbad,125704,511551.00,40,48.27,30,280.47,701,7281.92,6973,41229.72,43143,163736.03,50887,212576.40,41.56
Dumka,16272,52058.00,63,48.85,,,27,587.78,942,3353.32,4601,12392.96,5633,16382.91,31.47
East Singhbhum,177351,797017.00,48,225.79,108,1243.00,1379,21302.78,9619,40915.30,81235,422472.30,92389,486159.15,61.00
Garhwa,12778,35491.00,7,11.47,7,27.31,20,366.60,624,3063.28,3474,7380.89,4132,10849.54,30.57
Giridih,31993,150218.00,38,831.47,7,45.31,99,1791.92,2042,7308.33,13269,51314.38,15455,61291.42,40.80
Godda,11705,41400.00,101,139.75,1,2.59,52,637.20,596,1896.43,4229,10472.49,4979,13148.46,31.76
Gumla,6269,24677.00,1,0.15,,,34,347.80,591,2314.59,2505,6697.13,3131,9359.67,37.93
Hazaribagh,44535,152335.00,16,18.89,14,179.14,260,4007.06,2544,13977.91,17920,45297.52,20754,63480.52,41.67
Jamtara,7515,23316.00,42,51.21,1,17.88,20,319.45,464,1666.17,2331,5895.76,2858,7950.47,34.10
Khunti,5869,27551.00,3,2.74,3,15.21,30,349.19,351,1465.03,1876,5064.99,2263,6897.16,25.03
Koderma,17972,42678.00,3,1.65,6,69.53,60,799.49,638,2214.16,7615,19142.99,8322,22227.82,52.08
Latehar,7102,27856.00,11,165.88,1,15.00,14,197.83,446,2151.19,4444,6599.69,4916,9129.60,32.77
Lohardaga,5315,20322.00,1,0.02,,,42,578.29,363,1633.21,2254,4613.77,2660,6825.28,33.59
Pakur,11893,25563.00,18,14.76,,,25,365.80,342,1001.64,7102,10928.75,7487,12310.95,48.16
Palamu,27581,88479.00,15,28.92,2,11.08,74,1435.54,1475,5668.14,8738,19735.56,10304,26879.23,30.38
Ramgarh,21865,131702.00,7,7.18,6,90.44,216,3334.72,2298,14868.99,7977,30430.92,10504,48732.25,37.00
Ranchi,265681,1547372.00,403,20343.00,190,1725.99,2035,41735.11,12979,67143.72,110777,840027.33,126384,970975.15,62.75
Sahibganj,9495,35404.00,95,92.85,1,1.50,32,378.29,666,2447.80,3623,8674.57,4417,11595.01,32.75
Seraikela-Kharsawan,27547,96009.00,2,3.80,7,91.38,136,1921.11,1690,6468.21,10668,38809.39,12503,47293.90,49.26
Simdega,4131,12713.00,3,9.75,,,14,117.69,294,1370.69,1366,3149.76,1677,4647.88,36.56
West Singhbhum,19156,137684.00,10,23.21,10,55.40,84,1691.52,1390,5802.94,5865,124734.59,7359,132307.67,96.10
