district,outstanding_as_on_30_09_2022_number,amount,total_disbursment_01_04_2023_to_30_09_2023_number,amount,outstainding_as_on_30_09_2023_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number,col_10
Bokaro,55415,32791,10739,7803,53982,31739,34234,18449,
Chatra,56790,29591,10002,5775,55553,29832,39733,23094,
Deoghar,87977,44595,20369,11675,87426,45199,46576,35051,
Dhanbad,47853,28060,6935,7437,44384,26292,21754,11035,
Dumka,68729,29245,12188,6077,68384,30798,39940,27666,
East Singhbhum,79817,44787,16562,11948,78070,44136,55560,33696,
Garhwa,59820,48489,9128,8346,59219,48686,36384,31737,
Giridih,85258,43210,13022,8648,84017,43678,51427,26251,
Godda,60114,35380,10094,6747,59164,35679,33016,21800,
Gumla,54959,25233,5676,3979,53806,25927,29645,16959,
Hazaribagh,79067,49597,13717,10307,77561,49805,52925,26475,
Jamtara,49417,25769,8656,5711,48953,26323,31022,21887,
Khunti,27146,12719,4737,2642,27018,13310,15165,7826,
Koderma,32094,17539,5369,2820,30884,17014,24834,10974,
Latehar,31149,20635,4586,3312,31097,21814,20396,14874,
Lohardaga,34120,18730,4524,3542,33554,18178,21566,12134,
Pakur,29946,19658,4401,2898,29627,19972,14632,8657,
Palamu,86579,65855,14791,13534,84587,64787,50735,44760,
Ramgarh,28563,16770,5386,3075,26774,16320,15392,9529,
Ranchi,96820,63212,15078,11395,94100,60719,51608,32167,
Sahibganj,43423,29456,7043,5506,40186,28079,17061,11646,
Seraikela-Kharsawan,57248,30576,10252,6028,57367,32021,41804,23095,
Simdega,22700,9700,3121,1671,22503,9678,15433,7632,
West Singhbhum,71141,41812,12159,6178,70586,42967,47002,31220,
