district,pmegp_outstanding_no,amt,npa_no,amt,npa_pct,mudra_loans_outstanding_no,amt,npa_no,amt,npa_pct,stand_up_india_outstanding_no,amt,npa_no,amt,npapct,shg_nrlm_nulm_outstanding_no,amt,npa_no,amt,npapct
Bokaro,879,2985.62,308,885.46,29.66,135407,70525.31,15972,9455.37,13.41,202,3200.46,57,706.18,22.07,21480,38465.01,603,347.48,0.90
Chatra,462,1127.11,183,349.32,30.99,18181,15214.69,2672,2833.33,18.62,57,674.52,14,165.54,24.54,14409,23045.97,571,325.73,1.41
Deoghar,907,2260.96,339,483.01,21.36,58016,36104.06,4589,4122.99,11.42,147,2341.38,13,244.55,10.44,11044,14667.29,1294,1170.17,7.98
Dhanbad,1207,3640.02,499,1277.76,35.10,221389,102837.38,17965,8901.10,8.66,254,3818.89,63,609.96,15.97,15488,23899.27,832,433.25,1.81
Dumka,1043,2063.69,362,537.99,26.07,59686,25878.77,7490,3407.78,13.17,61,1521.20,1,0.12,0.01,11756,18291.43,650,586.19,3.20
East Singhbhum,1115,3639.43,286,709.27,19.49,209033,107073.02,14199,10767.80,10.06,376,5356.97,79,995.24,18.58,24304,50554.03,918,639.05,1.26
Garhwa,258,646.07,58,93.27,14.44,30110,18487.16,2075,1585.34,8.58,15,161.42,2,3.58,2.22,11523,17658.76,219,110.78,0.63
Giridih,963,2464.59,289,548.89,22.27,243015,92501.28,15899,7808.57,8.44,101,1758.01,12,118.11,6.72,27944,46118.06,1277,842.99,1.83
Godda,914,2220.91,238,390.63,17.59,37647,24230.83,4340,3585.15,14.80,52,1210.00,7,71.21,5.88,11204,18457.51,428,320.78,1.74
Gumla,634,1656.85,199,422.97,25.53,15939,10764.67,2022,1898.76,17.64,31,553.90,4,40.74,7.35,12252,21607.07,1005,802.78,3.72
Hazaribagh,1151,3742.06,395,1046.00,27.95,144025,71284.79,10391,8878.31,12.45,176,2141.31,46,373.02,17.42,24210,43348.07,657,339.11,0.78
Jamtara,488,783.68,143,157.81,20.14,11471,8237.13,1803,1294.60,15.72,23,413.83,,0.03,0.01,6780,9266.68,336,427.06,4.61
Khunti,453,942.86,128,231.66,24.57,18775,9386.90,1383,1145.33,12.20,22,301.85,,0.02,0.01,8019,15451.21,254,275.49,1.78
Koderma,592,1474.79,174,420.42,28.51,75736,34192.60,4927,3051.67,8.92,81,821.02,22,112.91,13.75,10492,22148.75,346,271.06,1.22
Latehar,295,526.58,89,102.64,19.49,47198,17164.80,1840,1012.75,5.90,74,1253.95,,0.02,0.00,9722,16379.20,331,196.39,1.20
Lohardaga,624,1606.02,199,774.74,48.24,16411,11606.95,1639,2055.79,17.71,27,339.75,2,10.05,2.96,8463,16088.06,632,759.20,4.72
Pakur,682,1489.71,174,295.37,19.83,100063,33333.34,6136,2145.10,6.44,28,752.92,2,13.87,1.84,10218,18472.49,401,307.46,1.66
Palamu,434,1366.66,185,346.23,25.33,65325,41079.74,4871,5187.08,12.63,89,1895.94,3,36.57,1.93,19042,28155.15,626,470.67,1.67
Ramgarh,508,1677.49,132,294.87,17.58,45731,31550.62,6784,4832.09,15.32,147,1555.09,23,193.11,12.42,11109,21860.08,339,250.90,1.15
Ranchi,1477,4834.24,627,1686.74,34.89,431138,201866.82,27883,19703.50,9.76,590,9398.19,123,1693.22,18.02,32977,72121.86,1366,1773.04,2.46
Sahibganj,664,1581.55,161,250.31,15.83,43659,24133.76,3672,2035.66,8.43,27,451.93,,0.04,0.01,10076,15021.46,328,202.57,1.35
Seraikela-Kharsawan,419,1012.02,110,163.89,16.19,49675,26715.58,5437,3001.76,11.24,60,983.05,8,35.94,3.66,14420,27581.74,731,625.69,2.27
Simdega,413,899.34,167,283.70,31.54,11670,7211.71,1140,1166.06,16.17,27,280.15,3,13.85,4.94,8485,13480.96,390,287.80,2.13
West Singhbhum,533,1456.10,164,282.43,19.40,233128,73151.28,9789,4014.17,5.49,46,1674.54,2,10.15,0.61,16803,39484.26,408,239.02,0.61
