district,total_npa_under_priorty_sector_sector_wise_agriculture_no,amt,housing_no,amt,education_no,amt,msme_no,amt,other_psl_no,amt,total_psl_npa_no,amt,col_14
Bokaro,17134,7954.65,73,694.27,226,651.20,9940,32539.74,4723,722.57,32096,42562.42,
Chatra,20583,10195.30,12,77.81,81,291.80,2815,5628.09,218,34.19,23709,16227.20,
Deoghar,24342,10349.10,61,121.60,140,374.95,5310,7701.08,995,186.99,30848,18733.72,
Dhanbad,20775,11604.56,188,1089.95,438,1242.63,11651,26276.92,6568,893.99,39620,41108.05,
Dumka,21005,8092.80,13,59.33,40,100.56,4571,4880.08,1026,175.46,26655,13308.23,
East Singhbhum,20958,11683.18,279,1996.41,486,1430.98,13246,54577.41,2991,479.77,37960,70167.75,
Garhwa,14908,8146.15,6,36.67,61,204.52,2234,1931.23,247,67.33,17456,10385.90,
Giridih,30469,13193.14,29,100.03,254,646.71,7601,12291.57,2294,398.94,40647,26630.38,
Godda,15940,7658.87,7,29.33,48,146.97,3532,4237.39,542,139.09,20069,12211.64,
Gumla,26063,11052.11,21,83.51,74,181.58,2781,3750.35,138,25.80,29077,15093.36,
Hazaribagh,33395,20435.51,191,1035.11,246,839.04,7353,17256.56,1553,278.51,42738,39844.74,
Jamtara,10602,3898.30,8,50.08,21,62.63,1832,1723.03,51,3.85,12514,5737.89,
Khunti,8961,4120.65,7,45.18,24,66.57,1551,2223.84,193,24.95,10736,6481.20,
Koderma,16123,8603.49,52,201.47,84,283.14,3256,7356.25,1071,73.73,20586,16518.08,
Latehar,6905,3439.49,8,50.70,24,87.25,1193,1222.93,67,9.14,8197,4809.51,
Lohardaga,15957,8453.87,12,69.34,63,219.62,1939,3808.83,57,12.68,18028,12564.34,
Pakur,9446,4393.80,5,24.90,21,61.26,1895,1816.30,612,101.95,11979,6398.20,
Palamu,22847,13312.64,22,114.81,135,452.19,4963,6486.68,328,96.42,28295,20462.74,
Ramgarh,9795,4424.86,33,144.96,116,356.90,5562,12549.29,2358,383.68,17864,17859.69,
Ranchi,33645,29598.29,293,2315.20,799,2495.17,18514,106902.55,2454,595.22,55705,141906.43,
Sahibganj,11366,6328.90,6,22.58,42,134.67,2888,2690.10,924,215.57,15226,9391.81,
Seraikela-Kharsawan,16100,8741.74,31,170.31,87,256.13,4221,8926.74,800,108.50,21239,18203.42,
Simdega,10475,4710.37,6,22.80,41,118.31,1684,2116.64,76,35.61,12282,7003.74,
West Singhbhum,22253,12081.71,77,633.13,131,420.56,4742,10436.83,1167,147.96,28370,23720.20,
