district,as_on_30th_september_2023_agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_non_priority_sector_no,amt,total_nps_no,amt,total_advance_no,amt,col_16
Bokaro,15,25.23,92,1737.09,3762,61369.48,27114,66560.31,104616,313584.13,135599,443276.23,312717,828307.17,
Chatra,5,2.29,,,179,2860.72,4236,12760.38,13489,33264.86,17909,48888.25,105305,126905.94,
Deoghar,155,578.88,40,831.87,1602,28096.33,10841,23533.20,40321,98967.25,52959,152007.53,219342,351494.89,
Dhanbad,41,283.24,99,1879.24,6490,65273.66,47526,130206.65,171758,519284.79,225914,716927.59,487975,1330002.24,
Dumka,90,136.13,5,127.54,287,6045.34,5265,11375.63,23999,62223.10,29646,79907.74,156954,194026.89,
East Singhbhum,81,146.77,932,21784.57,12919,207687.29,62899,128586.98,238336,711233.01,315167,1069438.63,602071,2002904.30,
Garhwa,8,14.40,9,44.70,151,2271.88,4070,9699.65,16962,37797.62,21200,49828.25,140258,150198.24,
Giridih,35,795.70,18,250.24,776,14217.14,12119,23309.11,51303,125736.65,64251,164308.84,265341,401240.16,
Godda,123,265.38,3,43.66,293,3512.92,4249,7921.71,21855,60298.50,26523,72042.16,138759,175716.26,
Gumla,9,5.49,2,55.16,191,3890.62,3825,8291.62,11948,34472.92,15975,46715.81,93197,114981.54,
Hazaribagh,31,64.60,40,816.57,1966,30940.01,16021,40672.93,69967,168831.35,88025,241325.46,286793,546877.95,
Jamtara,85,84.41,3,60.07,249,2614.25,2963,4779.70,10590,30149.20,13890,37687.64,78766,88009.41,
Khunti,4,3.69,8,25.82,195,3903.71,2671,6018.17,11439,38084.03,14317,48035.42,58683,90424.82,
Koderma,7,3.20,13,217.45,327,5958.17,5095,8988.88,26634,52486.14,32076,67653.85,124023,174435.27,
Latehar,11,169.73,2,27.59,111,2064.40,2782,7815.13,12154,40558.30,15060,50635.16,64886,100639.72,
Lohardaga,1,0.40,2,57.17,187,3889.35,2218,5186.09,11377,27359.62,13785,36492.64,67593,90348.74,
Pakur,62,44.22,,2.99,336,4924.92,2086,3660.53,23422,36268.72,25906,44901.38,104691,121285.94,
Palamu,36,43.79,6,141.77,496,9654.03,9385,18896.62,40797,108925.44,50720,137661.64,238154,314441.91,
Ramgarh,7,13.07,19,402.06,1269,23591.07,14457,44207.85,39661,136944.01,55413,205158.06,146154,365041.27,
Ranchi,1202,22836.05,666,12205.95,17408,365258.37,77366,205837.55,334067,1475764.30,430709,2081902.22,1751056,3639052.05,
Sahibganj,263,254.04,1,8.03,244,2971.31,3880,7979.13,18117,44546.48,22505,55758.99,116967,134210.48,
Seraikela-Kharsawan,3,4.04,64,953.14,1567,23855.96,11915,22137.96,35580,90976.34,49129,137927.45,257500,397166.99,
Simdega,,,4,32.14,88,1445.25,2081,5448.04,7441,15474.40,9614,22399.83,50012,56604.37,
West Singhbhum,10,18.74,25,266.39,737,12127.01,9862,22013.86,31205,156619.20,41839,191045.20,165875,336558.01,
