district,total_npa_under_non_priorty_sector_sector_wise_agriculture_no,amt,housing_no,amt,education_no,amt,others_no,amt,total_non_psl_npa_no,amt,total_npa_psl_npa_+_non_psl_npa_no,amt,total_advances_amt,npa_pct,col_16
Bokaro,3,1.03,34,568.40,2,12.97,9629,8443.75,9668,9026.14,41764,51588.56,828307.17,6.23,
Chatra,,,5,56.16,,,992,479.43,997,535.59,24706,16762.79,126905.94,13.21,
Deoghar,4,3.19,6,24.16,2,7.86,2144,1806.40,2156,1841.61,33004,20575.33,351494.89,5.85,
Dhanbad,4,60.55,84,1025.49,3,7.78,12103,12622.94,12194,13716.76,51814,54824.81,1330002.24,4.12,
Dumka,3,2.37,1,13.38,,,2024,1019.51,2028,1035.25,28683,14343.48,194026.89,7.39,
East Singhbhum,5,6.21,123,2208.56,8,72.02,12342,29532.86,12478,31819.64,50438,101987.39,2002904.30,5.09,
Garhwa,2,1.09,2,39.99,,,804,525.17,808,566.25,18264,10952.15,150198.24,7.29,
Giridih,1,1.00,16,67.23,3,3.02,3642,1749.68,3662,1820.94,44309,28451.32,401240.16,7.09,
Godda,2,1.21,1,,,,1198,1011.38,1201,1012.59,21270,13224.23,175716.26,7.53,
Gumla,,,3,47.11,,,827,503.08,830,550.18,29907,15643.54,114981.54,13.61,
Hazaribagh,1,3.24,38,482.49,4,16.53,4470,3508.87,4513,4011.14,47251,43855.88,546877.95,8.02,
Jamtara,1,0.97,,,,,728,734.71,729,735.68,13243,6473.57,88009.41,7.36,
Khunti,,,2,26.86,,,400,498.96,402,525.81,11138,7007.02,90424.82,7.75,
Koderma,4,0.74,9,112.15,,,2140,966.87,2153,1079.76,22739,17597.84,174435.27,10.09,
Latehar,1,0.60,2,9.46,,,431,457.03,434,467.08,8631,5276.59,100639.72,5.24,
Lohardaga,,,1,88.14,,,761,739.29,762,827.43,18790,13391.77,90348.74,14.82,
Pakur,1,1.25,,,,,1613,887.14,1614,888.39,13593,7286.59,121285.94,6.01,
Palamu,6,1.20,3,15.20,1,1.01,2179,2007.00,2189,2024.41,30484,22487.16,314441.91,7.15,
Ramgarh,,,14,218.64,,,2842,4500.27,2856,4718.91,20720,22578.60,365041.27,6.19,
Ranchi,31,715.16,159,2803.63,9,61.97,18174,75919.59,18373,79500.35,74078,221406.77,3639052.05,6.08,
Sahibganj,4,6.51,10,6.14,,,1121,1131.47,1135,1144.13,16361,10535.94,134210.48,7.85,
Seraikela-Kharsawan,1,0.15,9,90.37,,,3247,1123.28,3257,1213.80,24496,19417.23,397166.99,4.89,
Simdega,,,,,,,787,410.96,787,410.96,13069,7414.70,56604.37,13.10,
West Singhbhum,1,1.07,18,139.26,,,1612,1687.35,1631,1827.68,30001,25547.88,336558.01,7.59,
