district,grand_total_of_laf,returned_by_bank,returned_after_sanction,resubmit_ted_applicati_ons,picked_up_status_pending_for_sanction,total_sanctioned,pct_total_sanctioned_vs_total_application_laf,total_sanctioned_but_pending_for_disbursement,total_disbursement,pct_total_disbursement_vs_total_sanction,applications_already_closed
Bokaro,5324,343,113,341,567,3960,74.38,718,3242,81.87,0
Chatra,1162,196,163,0,32,771,66.35,17,754,97.80,0
Deoghar,6267,379,185,381,435,4887,77.98,932,3955,80.93,0
Dhanbad,18145,2448,800,2496,1693,10708,59.01,1719,8989,83.95,0
Dumka,1152,5,14,30,76,1027,89.15,91,936,91.14,0
Garhwa,1840,158,198,14,81,1389,75.49,92,1297,93.38,0
Giridih,4888,420,222,279,574,3393,69.41,348,3045,89.74,0
Godda,1581,179,90,19,22,1271,80.39,32,1239,97.48,0
Gumla,889,46,47,82,25,689,77.50,35,654,94.92,0
Hazaribagh,4625,217,150,277,554,3427,74.10,783,2644,77.15,0
Jamtara,1093,151,72,75,44,751,68.71,92,659,87.75,0
Khunti,650,48,70,2,11,519,79.85,14,505,97.30,0
Koderma,2279,220,140,15,38,1866,81.88,67,1799,96.41,0
Latehar,602,22,24,9,13,534,88.70,62,472,88.39,0
Lohardaga,932,183,43,15,71,620,66.52,65,555,89.52,0
Pakur,746,111,70,3,15,547,73.32,10,537,98.17,0
Palamu,5938,225,413,335,322,4643,78.19,551,4092,88.13,0
Ramgarh,2720,343,214,63,313,1787,65.70,235,1552,86.85,0
Ranchi,17054,563,1469,1517,2119,11386,66.76,1352,10034,88.13,0
Sahibganj,2374,202,127,100,204,1741,73.34,124,1617,92.88,0
Seraikela-Kharsawan,3385,230,260,158,448,2289,67.62,245,2044,89.30,0
Simdega,744,142,18,10,11,563,75.67,22,541,96.09,0
West Singhbhum,1501,174,116,1,103,1107,73.75,48,1059,95.66,0
