district,total_target_for_2023_24_no_of_prj,mm_involve_in_lakh,forwarded_to_bank_no_of_prj,mm_involve_in_lakh,sanctioned_by_bank_no_of_prj,mm_involve_in_lakh,margin_money_claimed_no_of_prj,mm_involve_in_lakh,mm_disbursed_no_of_prj,mm_involve_in_lakh,returned_by_bank_no_of_prj,mm_in_lakh,pending_at_bank_no_of_prj,mm_involve_in_lakh,pending_for_mm_disbursement_no_of_prj,mm_in_lakh
Bokaro,413,1197.70,233,1032.70,56,237.21,33,151.35,24,128.18,125,535.71,52,229.54,8,35.41
Chatra,179,519.10,184,530.08,43,98.07,24,65.67,12,26.05,93,282.52,44,115.07,12,38.83
Deoghar,253,733.70,324,617.11,106,231.50,46,168.76,34,123.05,168,261.84,46,90.32,7,24.01
Dhanbad,405,1174.50,263,835.69,60,180.36,30,118.06,33,125.39,159,473.22,46,201.95,3,7.83
Dumka,306,887.40,249,597.63,70,115.24,74,150.20,37,97.07,101,245.03,68,186.54,20,30.31
Garhwa,183,530.70,91,324.94,27,59.60,9,41.21,9,23.02,50,138.62,13,91.97,5,30.06
Giridih,292,846.80,293,914.23,95,219.23,74,149.71,46,97.23,120,351.55,75,275.00,18,35.02
Godda,294,852.60,252,739.91,80,206.23,65,232.40,44,173.52,137,367.96,25,128.28,14,41.81
Gumla,186,539.40,138,402.11,38,75.03,24,54.03,17,33.78,66,211.41,34,95.11,7,13.48
Hazaribagh,430,1247.00,467,1500.27,106,355.83,73,259.69,53,176.56,267,816.44,82,257.47,15,47.86
Jamtara,175,507.50,158,402.84,37,83.00,18,30.36,13,20.59,89,227.77,31,73.53,5,7.88
Khunti,201,582.90,111,314.09,34,59.67,7,8.51,9,16.33,65,197.65,14,46.98,2,2.65
Koderma,203,588.70,196,357.54,36,51.16,14,33.55,18,49.89,108,216.23,42,69.22,2,2.59
Latehar,148,429.20,77,188.20,33,89.24,9,27.80,12,47.71,26,63.55,20,46.69,2,3.67
Lohardaga,186,539.40,156,410.52,50,113.95,28,45.70,21,28.80,61,160.45,42,118.19,9,14.42
Pakur,203,588.70,129,305.50,31,37.57,20,18.43,15,36.00,69,193.17,23,53.11,3,3.09
Palamu,240,696.00,161,642.68,38,108.68,21,62.61,16,46.97,91,376.80,25,121.64,3,11.75
Ramgarh,303,878.70,161,626.52,57,234.93,21,82.76,16,69.65,93,317.36,13,55.57,6,26.24
Ranchi,390,1131.00,437,1666.17,138,398.51,57,207.42,61,208.09,178,698.62,121,530.91,18,71.80
Sahibganj,294,852.60,270,432.12,81,119.48,39,57.89,30,45.14,114,189.10,50,80.07,12,13.61
Simdega,176,510.40,100,263.83,30,61.05,27,55.33,11,17.41,39,117.97,32,77.39,11,31.33
