district,total_advance_target_no,amt,total_advance_no,amt,achv_pct_amt
Bokaro,198192,649777.28,77964,385205.30,59.28
Chatra,92632,96636.58,26489,40697.87,42.11
Deoghar,199764,341153.68,58238,145575.62,42.67
Dhanbad,279272,972648.84,118925,533192.91,54.82
Dumka,113451,171712.41,38661,70447.30,41.03
East Singhbhum,384260,1514220.21,172969,1050637.48,69.38
Garhwa,99401,134129.00,33844,47149.89,35.15
Giridih,190661,329523.37,71312,168303.32,51.07
Godda,108745,145341.30,31732,51852.85,35.68
Gumla,64070,82001.70,17126,35473.05,43.26
Hazaribagh,204387,374303.09,73429,192274.07,51.37
Jamtara,59601,73670.52,18970,26005.97,35.30
Khunti,40986,64494.50,14499,24869.57,38.56
Koderma,93384,125569.90,33695,72943.40,58.09
Latehar,45399,71105.01,18672,29392.21,41.34
Lohardaga,56736,61928.12,14766,28886.61,46.65
Pakur,65389,89566.62,30281,44216.15,49.37
Palamu,173579,254853.16,58971,96070.85,37.70
Ramgarh,85049,250689.38,36204,128445.56,51.24
Ranchi,1489290,2794152.91,570275,1789099.43,64.03
Sahibganj,78944,115517.91,27919,39319.70,34.04
Seraikela-Kharsawan,216080,296681.67,76698,195100.83,65.76
Simdega,44053,42897.21,11164,18159.20,42.33
West Singhbhum,126904,240926.07,37602,178960.64,74.28
