district,notices_issued_u_s_13_2_of_sarfaesi_act_no_of_a_cs,amount_in_lacs,out_of_which_symbolic_possession_taken_u_s_13_4_no_of_a_cs,amount_in_lacs,request_sent_to_dc_dm_cmm_for_assistance_in_physical_possession_no_of_a_cs,out_of_that_physical_possession_taken_no_of_a_cs,cases_pending_at_the_end_of_the_quarter_no_of_a_cs,col_9
Bokaro,1019,5557.14,53,1668.31,19,0,20,
Chatra,15,293.15,13,280.72,3,0,3,
Deoghar,28,1237.60,8,968.57,6,0,6,
Dhanbad,421,7893.30,112,4665.54,77,6,82,
Dumka,15,107.97,3,62.65,1,0,1,
East Singhbhum,457,67457.88,350,102860.30,247,80,173,
Garhwa,18,186.89,12,133.06,4,0,4,
Giridih,757,2643.58,26,334.77,13,0,14,
Godda,7,27.58,0,0.00,0,0,0,
Gumla,12,118.58,7,60.43,2,0,2,
Hazaribagh,104,2043.62,85,1854.84,62,1,62,
Jamtara,22,100.99,0,0.00,0,0,0,
Khunti,0,0.00,0,0.00,0,0,0,
Koderma,40,637.14,28,519.39,21,0,21,
Latehar,7,51.79,1,4.77,1,0,1,
Lohardaga,23,659.92,10,590.89,4,0,6,
Pakur,16,148.22,5,84.32,4,0,5,
Palamu,27,139.39,11,101.94,6,0,6,
Ramgarh,38,1141.98,25,796.90,19,0,24,
Ranchi,415,27116.93,345,28516.43,189,48,150,
Sahibganj,11,107.62,5,66.24,2,0,2,
Simdega,21,102.21,8,46.19,4,0,4,
West Singhbhum,19,184.07,7,51.80,5,0,5,
